no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category,tokens,matched_words,unmatched_words
5940,2017-07-22T16:13:26.000Z,KAMI INGIN TAHU seberapa ingin anda bila ILC Selasa Juli mengangkat topik UU Pemilu Presidential Threshold RT bila setuju,KAMI INGIN TAHU berapa ingin anda bila ILC selasa juli angkat topik UU pemilu presidential threshold RT bila tuju,0.0,0.0,0.0,neutral,"['KAMI', 'INGIN', 'TAHU', 'berapa', 'ingin', 'anda', 'bila', 'ILC', 'selasa', 'juli', 'angkat', 'topik', 'UU', 'pemilu', 'presidential', 'threshold', 'RT', 'bila', 'tuju']","['TAHU', 'selasa', 'juli', 'angkat', 'UU', 'pemilu', 'tuju']","['KAMI', 'INGIN', 'berapa', 'ingin', 'bila', 'ILC', 'topik', 'presidential', 'threshold', 'RT', 'bila']"
5954,2017-07-22T06:53:23.000Z,anggota DPR melakukan walk out saat berlangsungnya rapat paripurna DagelanWalkOut,anggota DPR pelaksanaan walk out saat langsung rapat paripurna dagelanwalkout,-2.4,-0.6,0.5477225575051661,negative,"['anggota', 'DPR', 'pelaksanaan', 'walk', 'out', 'saat', 'langsung', 'rapat', 'paripurna', 'dagelanwalkout']","['anggota', 'DPR', 'pelaksanaan', 'langsung', 'rapat', 'paripurna', 'dagelanwalkout']","['walk', 'out', 'saat']"
6011,2017-07-20T18:01:26.000Z,Sidang Paripurna di DPR RI yang membahas RUU Pemilu telah selesai dilaksanakan Ach ElshintaNewsAndTalk,sidang paripurna di DPR RI yang bahas RUU pemilu telah selesai laksana ach elshintanewsandtalk,0.0,0.0,0.0,neutral,"['sidang', 'paripurna', 'di', 'DPR', 'RI', 'yang', 'bahas', 'RUU', 'pemilu', 'telah', 'selesai', 'laksana', 'ach', 'elshintanewsandtalk']","['sidang', 'paripurna', 'DPR', 'RI', 'bahas', 'RUU', 'pemilu', 'selesai']","['di', 'telah', 'laksana', 'ach', 'elshintanewsandtalk']"
6051,2017-07-20T15:16:42.000Z,LintasINFO Suasana jelang Rapat Paripurna di Rep,lintasinfo suasana jelang rapat paripurna di rep,0.0,0.0,0.0,neutral,"['lintasinfo', 'suasana', 'jelang', 'rapat', 'paripurna', 'di', 'rep']","['suasana', 'jelang', 'rapat', 'paripurna']","['lintasinfo', 'di', 'rep']"
6056,2017-07-20T14:40:57.000Z,Kelihatan RUU Pemilu yg akan disahkan malam ini ngga jd perhatian masyarakat TL,lihat RUU pemilu yang akan sah malam ini tidak jadi perhati masyarakat TL,-1.0,-0.25,0.0,negative,"['lihat', 'RUU', 'pemilu', 'yang', 'akan', 'sah', 'malam', 'ini', 'tidak', 'jadi', 'perhati', 'masyarakat', 'TL']","['lihat', 'RUU', 'pemilu', 'malam', 'jadi', 'masyarakat']","['akan', 'sah', 'ini', 'perhati', 'TL']"
6101,2017-07-20T03:46:34.000Z,Bukan pengesahan RUU Pemilu dipimpin,bukan pengesahan RUU pemilu kepemimpinan,0.0,0.0,0.0,neutral,"['bukan', 'pengesahan', 'RUU', 'pemilu', 'kepemimpinan']","['pengesahan', 'RUU', 'pemilu', 'kepemimpinan']",[]
6165,2017-07-14T03:03:54.000Z,Saya juga kaget membacanya,saya juga kaget baca,-0.2,-0.05,0.447213595499958,negative,"['saya', 'juga', 'kaget', 'baca']","['kaget', 'baca']",['juga']
6241,2017-07-11T12:44:00.000Z,Mereka yg di DPR bukan wakil rakyat tetapi wakil partai Merka bekerja ntuk kpntingn partai bukan untuk rakyat Bikin RUU sja gabecus,mereka yang di DPR bukan wakil rakyat tetapi wakil partai mereka kerja ntuk kpntingn partai bukan untuk rakyat bikin RUU saja gabecus,-3.8,-0.95,0.4472135954999578,negative,"['mereka', 'yang', 'di', 'DPR', 'bukan', 'wakil', 'rakyat', 'tetapi', 'wakil', 'partai', 'mereka', 'kerja', 'ntuk', 'kpntingn', 'partai', 'bukan', 'untuk', 'rakyat', 'bikin', 'RUU', 'saja', 'gabecus']","['mereka', 'DPR', 'wakil', 'rakyat', 'wakil', 'partai', 'mereka', 'kerja', 'partai', 'rakyat', 'RUU', 'saja', 'gabecus']","['di', 'tetapi', 'ntuk', 'kpntingn', 'untuk', 'bikin']"
6278,2017-07-10T04:10:15.000Z,Banggar DPR raker dengan Menkopolhukam Menko Kemaritiman membahas RKA K L RUU APBNP BanggarDPR,banggar DPR raker dengan menkopolhukam menko maritim bahas RKA ke l RUU APBNP banggardpr,0.0,0.0,0.0,neutral,"['banggar', 'DPR', 'raker', 'dengan', 'menkopolhukam', 'menko', 'maritim', 'bahas', 'RKA', 'ke', 'l', 'RUU', 'APBNP', 'banggardpr']","['banggar', 'DPR', 'raker', 'bahas', 'RKA', 'RUU', 'APBNP', 'banggardpr']","['dengan', 'menkopolhukam', 'menko', 'maritim', 'ke', 'l']"
6283,2017-07-09T08:01:50.000Z,DPR Lanjutkan Pembahasan RUU Perkelapasawitan,DPR lanjut bahas RUU perkelapasawitan,0.0,0.0,0.0,neutral,"['DPR', 'lanjut', 'bahas', 'RUU', 'perkelapasawitan']","['DPR', 'lanjut', 'bahas', 'RUU']",['perkelapasawitan']
6330,2017-07-06T13:12:50.000Z,RUU KUHP Ditargetkan Selesai Periode Ini,RUU KUHP target selesai periode ini,-0.2,-0.05,0.447213595499958,negative,"['RUU', 'KUHP', 'target', 'selesai', 'periode', 'ini']","['RUU', 'KUHP', 'target', 'selesai', 'periode']",['ini']
6376,2017-07-05T00:48:25.000Z,Usul segera hentikan manuver politik yg tdk berguna buang waktu spt hak angket thdp agar fokus ke RUU Pemilu,usul segera henti manuver politik yang tidak penggunaan buang waktu seperti hak angket hadap agar fokus ke RUU pemilu,-1.6,-0.4,0.8944271909999159,negative,"['usul', 'segera', 'henti', 'manuver', 'politik', 'yang', 'tidak', 'penggunaan', 'buang', 'waktu', 'seperti', 'hak', 'angket', 'hadap', 'agar', 'fokus', 'ke', 'RUU', 'pemilu']","['usul', 'segera', 'henti', 'manuver', 'politik', 'penggunaan', 'buang', 'waktu', 'seperti', 'hak', 'angket', 'agar', 'fokus', 'RUU', 'pemilu']","['hadap', 'ke']"
6397,2017-07-04T02:18:01.000Z,Apakah RUU Pemilu akan selesai di Bulan Juli ?,apakah RUU pemilu akan selesai di bulan juli ?,-0.8,-0.2,0.447213595499958,negative,"['apakah', 'RUU', 'pemilu', 'akan', 'selesai', 'di', 'bulan', 'juli', '?']","['RUU', 'pemilu', 'selesai', 'bulan', 'juli']","['apakah', 'akan', 'di', '?']"
6407,2017-07-03T07:42:24.000Z,saya menyatakam mendesak DPR untuk mensahkan undang undang anti teror secepatnya,saya menyatakam desakan DPR untuk sah undang undang anti teror cepat,-0.2,-0.05,1.0954451150103324,negative,"['saya', 'menyatakam', 'desakan', 'DPR', 'untuk', 'sah', 'undang', 'undang', 'anti', 'teror', 'cepat']","['desakan', 'DPR', 'undang', 'undang', 'anti', 'teror', 'cepat']","['menyatakam', 'untuk', 'sah']"
6414,2017-07-02T09:53:32.000Z,kpn RUU anti teroris jd? Hrs nunggu ada anggota DPR jd korbankah spt hak angket yg dikebut ketika ada yg kena e ktp?,kapan RUU anti teroris jd ? harus tunggu ada anggota DPR jadi korban seperti hak angket yang kebut ketika ada yang kena e ktp ?,-2.8,-0.7,0.4472135954999578,negative,"['kapan', 'RUU', 'anti', 'teroris', 'jd', '?', 'harus', 'tunggu', 'ada', 'anggota', 'DPR', 'jadi', 'korban', 'seperti', 'hak', 'angket', 'yang', 'kebut', 'ketika', 'ada', 'yang', 'kena', 'e', 'ktp', '?']","['RUU', 'anti', 'teroris', 'tunggu', 'ada', 'anggota', 'DPR', 'jadi', 'korban', 'seperti', 'hak', 'angket', 'ada', 'kena']","['kapan', 'jd', '?', 'kebut', 'ketika', 'e', 'ktp', '?']"
6451,2017-06-27T22:05:34.000Z,Mrk masuk utk brkembang biak di NKRI KRN SUAMINYA SDH TERDESAK! MSH JG DEBAT MSLH MSK DLM RUU!GOBLOK PENDONOR ISIS X?,mereka masuk untuk brkembang biak di NKRI KARENA SUAMI SUDAH DESAKAN ! MASIH JUGA DEBAT MASALAH MASUK DALAM RUU ! GOBLOK DONOR ISIS x ?,-4.0,-1.0,0.0,negative,"['mereka', 'masuk', 'untuk', 'brkembang', 'biak', 'di', 'NKRI', 'KARENA', 'SUAMI', 'SUDAH', 'DESAKAN', '!', 'MASIH', 'JUGA', 'DEBAT', 'MASALAH', 'MASUK', 'DALAM', 'RUU', '!', 'GOBLOK', 'DONOR', 'ISIS', 'x', '?']","['mereka', 'masuk', 'biak', 'NKRI', 'DESAKAN', 'MASIH', 'DEBAT', 'MASALAH', 'MASUK', 'DALAM', 'RUU', 'GOBLOK', 'DONOR', 'x']","['untuk', 'brkembang', 'di', 'SUAMI', '!', 'JUGA', '!', 'ISIS', '?']"
6482,2017-06-19T09:35:04.000Z,Untuk Majukan PT Tidak Bisa Diberikan Kebijakan Sama,untuk maju PT tidak dapat beri kebijakan sama,0.0,0.0,0.0,neutral,"['untuk', 'maju', 'PT', 'tidak', 'dapat', 'beri', 'kebijakan', 'sama']","['maju', 'dapat', 'beri', 'kebijakan', 'sama']","['untuk', 'PT']"
6607,2017-06-11T10:54:35.000Z,punya fungsi mengawasi yg dijamin undang undang,punya fungsi awas yang jamin undang undang,0.0,0.0,0.0,neutral,"['punya', 'fungsi', 'awas', 'yang', 'jamin', 'undang', 'undang']","['punya', 'fungsi', 'awas', 'jamin', 'undang', 'undang']",[]
6616,2017-06-10T14:29:02.000Z,kngen juga leat Sinetron walk out sambil menangis dr pas pengesahan kenaikan BBM di era Rezim dulu,kangen juga leat sinetron walk out sambil menang dari pas pengesahan naik BBM di era rezim dulu,-1.6,-0.4,0.8944271909999161,negative,"['kangen', 'juga', 'leat', 'sinetron', 'walk', 'out', 'sambil', 'menang', 'dari', 'pas', 'pengesahan', 'naik', 'BBM', 'di', 'era', 'rezim', 'dulu']","['kangen', 'sinetron', 'menang', 'pas', 'pengesahan', 'naik', 'BBM', 'rezim']","['juga', 'leat', 'walk', 'out', 'sambil', 'di', 'era', 'dulu']"
6674,2017-06-06T07:36:51.000Z,Smoga secepatnya bisa di syahkan RUU Palang Merah Cc,moga cepat dapat di syah RUU palang merah cc,1.0,0.25,0.0,positive,"['moga', 'cepat', 'dapat', 'di', 'syah', 'RUU', 'palang', 'merah', 'cc']","['moga', 'cepat', 'dapat', 'RUU', 'merah']","['di', 'syah', 'palang', 'cc']"
6684,2017-06-05T10:40:13.000Z,Nunggu RUU penyiaran di sahkan oleh,tunggu RUU siar di sahkan oleh,-1.0,-0.25,0.0,negative,"['tunggu', 'RUU', 'siar', 'di', 'sahkan', 'oleh']","['tunggu', 'RUU', 'sahkan']","['siar', 'di']"
6744,2017-05-31T01:58:50.000Z,Maju terus Pak Segera dipercepat Pengesahannya,maju terus pak segera cepat pengesahan,1.4,0.35,0.5477225575051661,positive,"['maju', 'terus', 'pak', 'segera', 'cepat', 'pengesahan']","['maju', 'pak', 'segera', 'cepat', 'pengesahan']",['terus']
6807,2017-05-29T09:50:52.000Z,Anggota Pansus RUU Pemilu mengajukan penambahan Kursi Anggota DPR sedangkan Kemendagri meminta atau kursi,anggota pansus RUU pemilu aju tambah kursi anggota DPR sedang kemendagri minta atau kursi,-0.6,-0.15,0.5477225575051662,negative,"['anggota', 'pansus', 'RUU', 'pemilu', 'aju', 'tambah', 'kursi', 'anggota', 'DPR', 'sedang', 'kemendagri', 'minta', 'atau', 'kursi']","['anggota', 'pansus', 'RUU', 'pemilu', 'aju', 'tambah', 'kursi', 'anggota', 'DPR', 'kemendagri', 'minta', 'kursi']","['sedang', 'atau']"
6830,2017-05-28T14:28:32.000Z,Anggota DPR yg tarik ulur RUU Antiteroris mungkin bagian dri teroris itu sendiri,anggota DPR yang tarik ulur RUU antiteroris mungkin bagi dari teroris itu sendiri,-3.6,-0.9,0.5477225575051661,negative,"['anggota', 'DPR', 'yang', 'tarik', 'ulur', 'RUU', 'antiteroris', 'mungkin', 'bagi', 'dari', 'teroris', 'itu', 'sendiri']","['anggota', 'DPR', 'tarik', 'RUU', 'antiteroris', 'mungkin', 'bagi', 'teroris', 'sendiri']",['ulur']
6838,2017-05-27T12:10:20.000Z,Selamat jalan bhayangkaraku,selamat jalan bhayangkara,0.0,0.0,0.0,neutral,"['selamat', 'jalan', 'bhayangkara']",['selamat'],"['jalan', 'bhayangkara']"
6841,2017-05-27T03:33:09.000Z,Kapan nih RUU terorisme diketok palu ?,kapan ini RUU terorisme ketok palu ?,-0.8,-0.2,0.4472135954999579,negative,"['kapan', 'ini', 'RUU', 'terorisme', 'ketok', 'palu', '?']","['RUU', 'terorisme', 'palu']","['kapan', 'ini', 'ketok', '?']"
6874,2017-05-23T02:36:14.000Z,RUU Pemilu Segera Divoting,RUU pemilu segera voting,0.0,0.0,0.0,neutral,"['RUU', 'pemilu', 'segera', 'voting']","['RUU', 'pemilu', 'segera', 'voting']",[]
6878,2017-05-22T07:36:12.000Z,Hanya Dihadiri Anggota DPR Pembahasan RUU KUHP Ditunda,hanya hadir anggota DPR bahas RUU KUHP tunda,-2.2,-0.55,0.4472135954999579,negative,"['hanya', 'hadir', 'anggota', 'DPR', 'bahas', 'RUU', 'KUHP', 'tunda']","['hanya', 'hadir', 'anggota', 'DPR', 'bahas', 'RUU', 'KUHP', 'tunda']",[]
6884,2017-05-21T02:23:44.000Z,kapan RUU ASN untuk honorer di sahkan pak DPR RI,kapan RUU ASN untuk honorer di sahkan pak DPR RI,-1.0,-0.25,0.0,negative,"['kapan', 'RUU', 'ASN', 'untuk', 'honorer', 'di', 'sahkan', 'pak', 'DPR', 'RI']","['RUU', 'ASN', 'honorer', 'sahkan', 'pak', 'DPR', 'RI']","['kapan', 'untuk', 'di']"
6885,2017-05-20T10:24:31.000Z,meminta untuk fokus dalam membahas penyelesaian RUU Pemilu,minta untuk fokus dalam bahas selesai RUU pemilu,-0.8,-0.2,0.447213595499958,negative,"['minta', 'untuk', 'fokus', 'dalam', 'bahas', 'selesai', 'RUU', 'pemilu']","['minta', 'fokus', 'dalam', 'bahas', 'selesai', 'RUU', 'pemilu']",['untuk']
6992,2017-05-12T02:16:36.000Z,PAK KOREKSI BAGI KEBIJAKAN PENYEDIAAN AIR BERSIH LAYAK MINUM YA,PAK KOREKSI BAGI KEBIJAKAN SEDIA AIR BERSIH LAYAK MINUM YA,0.6,0.15,0.8944271909999161,positive,"['PAK', 'KOREKSI', 'BAGI', 'KEBIJAKAN', 'SEDIA', 'AIR', 'BERSIH', 'LAYAK', 'MINUM', 'YA']","['PAK', 'KOREKSI', 'BAGI', 'KEBIJAKAN', 'SEDIA', 'AIR', 'BERSIH', 'LAYAK', 'MINUM']",[]
7035,2017-05-03T07:16:06.000Z,Undang undang ? N O L B E S A R ! ! ! ! ! ! !,undang undang ? n o l b e si a r ! ! ! ! ! ! !,-3.0,-0.75,0.0,negative,"['undang', 'undang', '?', 'n', 'o', 'l', 'b', 'e', 'si', 'a', 'r', '!', '!', '!', '!', '!', '!', '!']","['undang', 'undang']","['?', 'n', 'o', 'l', 'b', 'e', 'si', 'a', 'r', '!', '!', '!', '!', '!', '!', '!']"
7041,2017-05-02T07:50:05.000Z,Internal Hanura Terbelah Sikapi Hak Angket KPK,internal hanura belah sikap hak angket KPK,-0.4,-0.1,0.5477225575051662,negative,"['internal', 'hanura', 'belah', 'sikap', 'hak', 'angket', 'KPK']","['belah', 'sikap', 'hak', 'angket', 'KPK']","['internal', 'hanura']"
7075,2017-04-29T03:50:08.000Z,RUU Pemilu menghadang Jokowi angket KPK agar anggota DPR yang korupsi bisa lolos dari jeratam hukum,RUU pemilu menghadang jokowi angket KPK agar anggota DPR yang korupsi dapat lolos dari jeratam hukum,-3.0,-0.75,0.0,negative,"['RUU', 'pemilu', 'menghadang', 'jokowi', 'angket', 'KPK', 'agar', 'anggota', 'DPR', 'yang', 'korupsi', 'dapat', 'lolos', 'dari', 'jeratam', 'hukum']","['RUU', 'pemilu', 'menghadang', 'jokowi', 'angket', 'KPK', 'agar', 'anggota', 'DPR', 'korupsi', 'dapat', 'lolos', 'hukum']",['jeratam']
7158,2017-04-27T05:45:16.000Z,Pembahasan RUU Pemilu dan Larangan Minol Diperpanjang,bahas RUU pemilu dan larang mol panjang,-0.6,-0.15,0.5477225575051662,negative,"['bahas', 'RUU', 'pemilu', 'dan', 'larang', 'mol', 'panjang']","['bahas', 'RUU', 'pemilu', 'larang', 'panjang']","['dan', 'mol']"
7189,2017-04-27T03:43:36.000Z,Suasana Ruang Rapat Paripurna II Gedung Nusantara II DPR RI ParipurnaDPR,suasana ruang rapat paripurna II gedung nusantara II DPR RI paripurnadpr,0.0,0.0,0.0,neutral,"['suasana', 'ruang', 'rapat', 'paripurna', 'II', 'gedung', 'nusantara', 'II', 'DPR', 'RI', 'paripurnadpr']","['suasana', 'ruang', 'rapat', 'paripurna', 'II', 'gedung', 'nusantara', 'II', 'DPR', 'RI', 'paripurnadpr']",[]
7228,2017-04-25T08:05:40.000Z,Komisi XI DPR RDP dengan POLRI Kemendikbud Kemenkes Kemen ESDM KemenkumHAM dan Kementerian BUMN membahas masukan RUU PNBP Komisi,komisi XI DPR RDP dengan POLRI kemendikbud kemenkes kemen ESDM kemenkumham dan menteri BUMN bahas masuk RUU PNBP komisi,0.0,0.0,0.0,neutral,"['komisi', 'XI', 'DPR', 'RDP', 'dengan', 'POLRI', 'kemendikbud', 'kemenkes', 'kemen', 'ESDM', 'kemenkumham', 'dan', 'menteri', 'BUMN', 'bahas', 'masuk', 'RUU', 'PNBP', 'komisi']","['komisi', 'XI', 'DPR', 'RDP', 'POLRI', 'kemendikbud', 'kemenkumham', 'menteri', 'BUMN', 'bahas', 'masuk', 'RUU', 'komisi']","['dengan', 'kemenkes', 'kemen', 'ESDM', 'dan', 'PNBP']"
7271,2017-04-17T03:21:08.000Z,Baleg Setujui RUU Larangan Praktik Monopoli,baleg tuju RUU larang praktik monopoli,0.6,0.15,0.5477225575051662,positive,"['baleg', 'tuju', 'RUU', 'larang', 'praktik', 'monopoli']","['baleg', 'tuju', 'RUU', 'larang', 'monopoli']",['praktik']
7301,2017-04-12T09:54:52.000Z,Baleg DPR RI Akan Membahas RUU Revisi UU ASN,baleg DPR RI akan bahas RUU revisi UU ASN,0.0,0.0,0.0,neutral,"['baleg', 'DPR', 'RI', 'akan', 'bahas', 'RUU', 'revisi', 'UU', 'ASN']","['baleg', 'DPR', 'RI', 'bahas', 'RUU', 'revisi', 'UU', 'ASN']",['akan']
7320,2017-04-11T05:24:24.000Z,Rapat Paripurna DPR RI Setujui Dua Anggota BPK Terpilih,rapat paripurna DPR RI tuju dua anggota BPK pilih,0.2,0.05,0.447213595499958,positive,"['rapat', 'paripurna', 'DPR', 'RI', 'tuju', 'dua', 'anggota', 'BPK', 'pilih']","['rapat', 'paripurna', 'DPR', 'RI', 'tuju', 'dua', 'anggota', 'BPK', 'pilih']",[]
7359,2017-04-06T23:53:17.000Z,Kunjungan kerja Panja RUU Kebudayaan Komisi X DPR RI ke Provinsi Riau,kunjung kerja panja RUU budaya komisi kali DPR RI ke provinsi riau,0.8,0.2,0.447213595499958,positive,"['kunjung', 'kerja', 'panja', 'RUU', 'budaya', 'komisi', 'kali', 'DPR', 'RI', 'ke', 'provinsi', 'riau']","['kunjung', 'kerja', 'panja', 'RUU', 'budaya', 'komisi', 'DPR', 'RI', 'provinsi', 'riau']","['kali', 'ke']"
7435,2017-04-05T10:46:29.000Z,maaf sebelumnya pak di harapkan kebijakan pelayanan yg di berikan tdk hanya di jawa,maaf belum pak di harap kebijakan layan yang di ikan tidak hanya di jawa,-0.2,-0.05,0.447213595499958,negative,"['maaf', 'belum', 'pak', 'di', 'harap', 'kebijakan', 'layan', 'yang', 'di', 'ikan', 'tidak', 'hanya', 'di', 'jawa']","['maaf', 'pak', 'harap', 'kebijakan', 'layan', 'hanya', 'jawa']","['belum', 'di', 'di', 'ikan', 'di']"
7438,2017-04-05T08:34:28.000Z,Komisi X DPR Setujui RUU Sisbuk,komisi kali DPR tuju RUU sisbuk,0.8,0.2,0.447213595499958,positive,"['komisi', 'kali', 'DPR', 'tuju', 'RUU', 'sisbuk']","['komisi', 'DPR', 'tuju', 'RUU']","['kali', 'sisbuk']"
7441,2017-04-05T04:20:46.000Z,Mahasiswa Unpar Belajar Pembuatan Kebijakan ke DPR,mahasiswa unpar belajar buat kebijakan ke DPR,0.6,0.15,0.5477225575051662,positive,"['mahasiswa', 'unpar', 'belajar', 'buat', 'kebijakan', 'ke', 'DPR']","['mahasiswa', 'belajar', 'buat', 'kebijakan', 'DPR']","['unpar', 'ke']"
7497,2017-04-03T05:03:08.000Z,Komisi V DPR RI Gelar FGD Himpun Masukan RUU SDA,komisi v DPR RI gelar FGD himpun masuk RUU SDA,0.8,0.2,0.447213595499958,positive,"['komisi', 'v', 'DPR', 'RI', 'gelar', 'FGD', 'himpun', 'masuk', 'RUU', 'SDA']","['komisi', 'v', 'DPR', 'RI', 'gelar', 'FGD', 'himpun', 'masuk', 'RUU', 'SDA']",[]
7604,2017-03-22T23:16:04.000Z,Hukuman mati bagi yg korupsi lebih baik dibuat bersama drpd merevisi undang undang,hukum mati bagi yang korupsi lebih baik buat sama daripada revisi undang undang,0.0,0.0,0.0,neutral,"['hukum', 'mati', 'bagi', 'yang', 'korupsi', 'lebih', 'baik', 'buat', 'sama', 'daripada', 'revisi', 'undang', 'undang']","['hukum', 'mati', 'bagi', 'korupsi', 'lebih', 'baik', 'buat', 'sama', 'revisi', 'undang', 'undang']",['daripada']
7607,2017-03-22T16:28:30.000Z,Meskipun sudah ada Surat Presiden Surpres kepada pimpinan DPR RI pemerintah menegaskan sikapnya terkait,meski sudah ada surat presiden surpres kepada kepemimpinan DPR RI pemerintah tegas sikap kait,0.0,0.0,0.0,neutral,"['meski', 'sudah', 'ada', 'surat', 'presiden', 'surpres', 'kepada', 'kepemimpinan', 'DPR', 'RI', 'pemerintah', 'tegas', 'sikap', 'kait']","['meski', 'ada', 'surat', 'presiden', 'surpres', 'kepada', 'kepemimpinan', 'DPR', 'RI', 'pemerintah', 'tegas', 'sikap', 'kait']",[]
7654,2017-03-20T04:58:38.000Z,Ini Lanjutan Revisi UU MD,ini lanjut revisi UU MD,0.0,0.0,0.0,neutral,"['ini', 'lanjut', 'revisi', 'UU', 'MD']","['lanjut', 'revisi', 'UU']","['ini', 'MD']"
7681,2017-03-15T14:57:06.000Z,Keluhan Rakyat tidak dihiraukan oleh wakil RAKYAT sperti kenaikan Listrik tidak ada kebijakan penyesuain Ekonomi Rakyat Spt Mencekik leher,keluh rakyat tidak hirau oleh wakil RAKYAT seperti naik listrik tidak ada kebijakan penyesuain ekonomi rakyat seperti cekik leher,-3.2,-0.8,0.8366600265340756,negative,"['keluh', 'rakyat', 'tidak', 'hirau', 'oleh', 'wakil', 'RAKYAT', 'seperti', 'naik', 'listrik', 'tidak', 'ada', 'kebijakan', 'penyesuain', 'ekonomi', 'rakyat', 'seperti', 'cekik', 'leher']","['rakyat', 'wakil', 'RAKYAT', 'seperti', 'naik', 'listrik', 'ada', 'kebijakan', 'ekonomi', 'rakyat', 'seperti']","['keluh', 'hirau', 'penyesuain', 'cekik', 'leher']"
7789,2017-03-09T04:16:00.000Z,APAKAH BENAR DPR RI rumah aspirasi rakyat ????? Mengapa TDK semuanya aspirasi tersampaikan ????,APAKAH BANGET DPR RI rumah aspirasi rakyat ? ? mengapa TIDAK semua aspirasi sampai ? ?,-2.0,-0.5,0.0,negative,"['APAKAH', 'BANGET', 'DPR', 'RI', 'rumah', 'aspirasi', 'rakyat', '?', '?', 'mengapa', 'TIDAK', 'semua', 'aspirasi', 'sampai', '?', '?']","['BANGET', 'DPR', 'RI', 'rumah', 'aspirasi', 'rakyat', 'semua', 'aspirasi', 'sampai']","['APAKAH', '?', '?', 'mengapa', '?', '?']"
7818,2017-03-06T12:28:35.000Z,Reses Ketua Komisi VIII DPR RI Kunjungi MUI Tangsel,reses ketua komisi VII DPR RI kunjung MUI tangsel,0.0,0.0,0.0,neutral,"['reses', 'ketua', 'komisi', 'VII', 'DPR', 'RI', 'kunjung', 'MUI', 'tangsel']","['reses', 'ketua', 'komisi', 'VII', 'DPR', 'RI', 'kunjung', 'tangsel']",['MUI']
7860,2017-03-02T01:16:00.000Z,Raja Salman akan Bertemu Pimpinan DPR Meski masa reses anggota DPR diimbau hadir saat pidato Raja VivaNews,raja salman akan temu kepemimpinan DPR meski masa reses anggota DPR imbau hadir saat pidato raja vivanews,0.0,0.0,0.0,neutral,"['raja', 'salman', 'akan', 'temu', 'kepemimpinan', 'DPR', 'meski', 'masa', 'reses', 'anggota', 'DPR', 'imbau', 'hadir', 'saat', 'pidato', 'raja', 'vivanews']","['temu', 'kepemimpinan', 'DPR', 'meski', 'masa', 'reses', 'anggota', 'DPR', 'hadir', 'pidato']","['raja', 'salman', 'akan', 'imbau', 'saat', 'raja', 'vivanews']"
7881,2017-02-28T12:29:36.000Z,DPR Terkini Rapat Paripurna DPR RI Setujui Lima Anggota BSBI,DPR kini rapat paripurna DPR RI tuju lima anggota BSBI,0.0,0.0,0.0,neutral,"['DPR', 'kini', 'rapat', 'paripurna', 'DPR', 'RI', 'tuju', 'lima', 'anggota', 'BSBI']","['DPR', 'kini', 'rapat', 'paripurna', 'DPR', 'RI', 'tuju', 'anggota']","['lima', 'BSBI']"
7891,2017-02-28T05:17:24.000Z,Anggota DPR RI Reses Iskandar Jelaskan Kondisi OKI,anggota DPR RI reses iskandar jelas kondisi OKI,0.0,0.0,0.0,neutral,"['anggota', 'DPR', 'RI', 'reses', 'iskandar', 'jelas', 'kondisi', 'OKI']","['anggota', 'DPR', 'RI', 'reses', 'jelas']","['iskandar', 'kondisi', 'OKI']"
8066,2017-02-10T14:03:31.000Z,RUU Sistem Perbukuan Kelar Dibahas info,RUU sistem buku kelar bahas info,0.6,0.15,0.5477225575051662,positive,"['RUU', 'sistem', 'buku', 'kelar', 'bahas', 'info']","['RUU', 'sistem', 'kelar', 'bahas', 'info']",['buku']
8083,2017-02-08T14:17:25.000Z,RDP Dengan Komisi X DPR RI Wakil Ketua APKASI Minta RUU PNPB Lebih Berkeadilan Kepada Daerah Go Riau,RDP dengan komisi kali DPR RI wakil ketua APKASI minta RUU PNPB lebih adil kepada daerah go riau,0.8,0.2,0.447213595499958,positive,"['RDP', 'dengan', 'komisi', 'kali', 'DPR', 'RI', 'wakil', 'ketua', 'APKASI', 'minta', 'RUU', 'PNPB', 'lebih', 'adil', 'kepada', 'daerah', 'go', 'riau']","['RDP', 'komisi', 'DPR', 'RI', 'wakil', 'ketua', 'minta', 'RUU', 'lebih', 'adil', 'kepada', 'daerah', 'riau']","['dengan', 'kali', 'APKASI', 'PNPB', 'go']"
8100,2017-02-08T09:14:24.000Z,RUU Kebudayaan Diharapkan Tingkatkan Ketahanan Budaya info,RUU budaya harap tingkat pertahanan budaya info,0.8,0.2,0.4472135954999579,positive,"['RUU', 'budaya', 'harap', 'tingkat', 'pertahanan', 'budaya', 'info']","['RUU', 'budaya', 'harap', 'tingkat', 'budaya', 'info']",['pertahanan']
8112,2017-02-07T22:04:35.000Z,DPR RI Undang Ichsan YL Rumuskan RUU Kepalang Merahan,DPR RI undang ichsan YL rumus RUU kepalang merah,0.6,0.15,0.5477225575051662,positive,"['DPR', 'RI', 'undang', 'ichsan', 'YL', 'rumus', 'RUU', 'kepalang', 'merah']","['DPR', 'RI', 'undang', 'RUU', 'kepalang', 'merah']","['ichsan', 'YL', 'rumus']"
