no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category,tokens,matched_words,unmatched_words,filtered_tokens,filtered_word_scores
4070,2016-04-28T17:33:31.000Z,info DPR RI Akhirnya Siapkan Panja RUU Tax Amnesty,info DPR RI akhir siap panja RUU tax amnesty,0.6,0.15,0.5477225575051662,positive,"['info', 'DPR', 'RI', 'akhir', 'siap', 'panja', 'RUU', 'tax', 'amnesty']","['info', 'DPR', 'RI', 'akhir', 'siap', 'panja', 'RUU', 'tax', 'amnesty']",[],"['info', 'DPR', 'RI', 'akhir', 'siap', 'panja', 'RUU', 'tax', 'amnesty']","[{'word': 'info', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'RI', 'score': 0.0, 'matched': True}, {'word': 'akhir', 'score': 0.0, 'matched': True}, {'word': 'siap', 'score': 0.8, 'matched': True}, {'word': 'panja', 'score': 0.0, 'matched': True}, {'word': 'RUU', 'score': 0.0, 'matched': True}, {'word': 'tax', 'score': 0.0, 'matched': True}, {'word': 'amnesty', 'score': 0.0, 'matched': True}]"
4108,2016-04-28T04:53:51.000Z,Komisi XI Rapat Kerja dengan Menteri PPN Kepala Bappenas membahas RUU Tax Amnesty DPRLive,komisi XI rapat kerja dengan menteri PPN kepala bappenas bahas RUU tax amnesty dprlive,0.0,0.0,0.0,neutral,"['komisi', 'XI', 'rapat', 'kerja', 'dengan', 'menteri', 'PPN', 'kepala', 'bappenas', 'bahas', 'RUU', 'tax', 'amnesty', 'dprlive']","['komisi', 'XI', 'rapat', 'kerja', 'menteri', 'PPN', 'kepala', 'bappenas', 'bahas', 'RUU', 'tax', 'amnesty', 'dprlive']",['dengan'],"['komisi', 'XI', 'rapat', 'kerja', 'dengan', 'menteri', 'PPN', 'kepala', 'bappenas', 'bahas', 'RUU', 'tax', 'amnesty', 'dprlive']","[{'word': 'komisi', 'score': 0.0, 'matched': True}, {'word': 'XI', 'score': 0.0, 'matched': True}, {'word': 'rapat', 'score': 0.0, 'matched': True}, {'word': 'kerja', 'score': 1.6, 'matched': True}, {'word': 'dengan', 'score': 0.0, 'matched': False}, {'word': 'menteri', 'score': 0.0, 'matched': True}, {'word': 'PPN', 'score': 0.0, 'matched': True}, {'word': 'kepala', 'score': 0.0, 'matched': True}, {'word': 'bappenas', 'score': 0.0, 'matched': True}, {'word': 'bahas', 'score': 0.0, 'matched': True}, {'word': 'RUU', 'score': 0.0, 'matched': True}, {'word': 'tax', 'score': 0.0, 'matched': True}, {'word': 'amnesty', 'score': 0.0, 'matched': True}, {'word': 'dprlive', 'score': 0.0, 'matched': True}]"
4143,2016-04-27T11:00:38.000Z,DPR dan Pemerintah Bertekad Lindungi Pekerja Migran di Luar Negeri RUU ini akan membuat pekerja merasa sebagai,DPR dan pemerintah tekad lindung kerja migran di luar negeri RUU ini akan buat kerja rasa bagai,1.0,0.25,0.0,positive,"['DPR', 'dan', 'pemerintah', 'tekad', 'lindung', 'kerja', 'migran', 'di', 'luar', 'negeri', 'RUU', 'ini', 'akan', 'buat', 'kerja', 'rasa', 'bagai']","['DPR', 'pemerintah', 'tekad', 'lindung', 'kerja', 'migran', 'negeri', 'RUU', 'buat', 'kerja', 'rasa']","['dan', 'di', 'luar', 'ini', 'akan', 'bagai']","['DPR', 'dan', 'pemerintah', 'tekad', 'lindung', 'kerja', 'migran', 'di', 'luar', 'negeri', 'RUU', 'ini', 'akan', 'buat', 'kerja', 'rasa', 'bagai']","[{'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'dan', 'score': 0.0, 'matched': False}, {'word': 'pemerintah', 'score': 0.0, 'matched': True}, {'word': 'tekad', 'score': 3.2, 'matched': True}, {'word': 'lindung', 'score': 3.2, 'matched': True}, {'word': 'kerja', 'score': 1.6, 'matched': True}, {'word': 'migran', 'score': 0.0, 'matched': True}, {'word': 'di', 'score': 0.0, 'matched': False}, {'word': 'luar', 'score': 0.0, 'matched': False}, {'word': 'negeri', 'score': 0.0, 'matched': True}, {'word': 'RUU', 'score': 0.0, 'matched': True}, {'word': 'ini', 'score': 0.0, 'matched': False}, {'word': 'akan', 'score': 0.0, 'matched': False}, {'word': 'buat', 'score': 0.8, 'matched': True}, {'word': 'kerja', 'score': 1.6, 'matched': True}, {'word': 'rasa', 'score': -1.6, 'matched': True}, {'word': 'bagai', 'score': 0.0, 'matched': False}]"
4180,2017-12-29T12:12:32.000Z,Banda Aceh Pemerintah dan Dewan Perwakilan Rakyat Aceh Didorong agar mempercepat pengesahan anggaran,banda aceh pemerintah dan dewan wakil rakyat aceh dorong agar cepat pengesahan anggaran,0.0,0.0,0.0,neutral,"['banda', 'aceh', 'pemerintah', 'dan', 'dewan', 'wakil', 'rakyat', 'aceh', 'dorong', 'agar', 'cepat', 'pengesahan', 'anggaran']","['aceh', 'pemerintah', 'dewan', 'wakil', 'rakyat', 'aceh', 'dorong', 'agar', 'cepat', 'pengesahan', 'anggaran']","['banda', 'dan']","['banda', 'aceh', 'pemerintah', 'dan', 'dewan', 'wakil', 'rakyat', 'aceh', 'dorong', 'agar', 'cepat', 'pengesahan', 'anggaran']","[{'word': 'banda', 'score': 0.0, 'matched': False}, {'word': 'aceh', 'score': 0.0, 'matched': True}, {'word': 'pemerintah', 'score': 0.0, 'matched': True}, {'word': 'dan', 'score': 0.0, 'matched': False}, {'word': 'dewan', 'score': 0.0, 'matched': True}, {'word': 'wakil', 'score': 0.0, 'matched': True}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'aceh', 'score': 0.0, 'matched': True}, {'word': 'dorong', 'score': 0.4, 'matched': True}, {'word': 'agar', 'score': -2.4000000000000004, 'matched': True}, {'word': 'cepat', 'score': 2.4000000000000004, 'matched': True}, {'word': 'pengesahan', 'score': 0.0, 'matched': True}, {'word': 'anggaran', 'score': 0.0, 'matched': True}]"
4198,2017-12-27T08:04:40.000Z,Komoditas Strategis Layak Dilindungi Undang Undang,komoditas strategis layak lindung undang undang,0.0,0.0,0.0,neutral,"['komoditas', 'strategis', 'layak', 'lindung', 'undang', 'undang']","['komoditas', 'strategis', 'layak', 'lindung', 'undang', 'undang']",[],"['komoditas', 'strategis', 'layak', 'lindung', 'undang', 'undang']","[{'word': 'komoditas', 'score': 0.0, 'matched': True}, {'word': 'strategis', 'score': 0.0, 'matched': True}, {'word': 'layak', 'score': 2.4000000000000004, 'matched': True}, {'word': 'lindung', 'score': 3.2, 'matched': True}, {'word': 'undang', 'score': 0.0, 'matched': True}, {'word': 'undang', 'score': 0.0, 'matched': True}]"
4222,2017-12-24T02:13:15.000Z,Bantu Arief Rahman Satriyo dapat lebih banyak tanda tangan tanda tangan diperlukan!,bantu arief rahman satriyo dapat lebih banyak tanda tangan tanda tangan perlu !,0.0,0.0,0.0,neutral,"['bantu', 'arief', 'rahman', 'satriyo', 'dapat', 'lebih', 'banyak', 'tanda', 'tangan', 'tanda', 'tangan', 'perlu', '!']","['bantu', 'dapat', 'lebih', 'banyak', 'tanda', 'tangan', 'tanda', 'tangan', 'perlu']","['arief', 'rahman', 'satriyo', '!']","['bantu', 'arief', 'rahman', 'satriyo', 'dapat', 'lebih', 'banyak', 'tanda', 'tangan', 'tanda', 'tangan', 'perlu', '!']","[{'word': 'bantu', 'score': 2.4000000000000004, 'matched': True}, {'word': 'arief', 'score': 0.0, 'matched': False}, {'word': 'rahman', 'score': 0.0, 'matched': False}, {'word': 'satriyo', 'score': 0.0, 'matched': False}, {'word': 'dapat', 'score': 1.6, 'matched': True}, {'word': 'lebih', 'score': 0.8, 'matched': True}, {'word': 'banyak', 'score': 0.0, 'matched': True}, {'word': 'tanda', 'score': 0.0, 'matched': True}, {'word': 'tangan', 'score': 0.8, 'matched': True}, {'word': 'tanda', 'score': 0.0, 'matched': True}, {'word': 'tangan', 'score': 0.8, 'matched': True}, {'word': 'perlu', 'score': 1.6, 'matched': True}, {'word': '!', 'score': 0.0, 'matched': False}]"
4244,2017-12-23T16:08:46.000Z,Untuk Indonesia Yang Lebih Baik,untuk indonesia yang lebih baik,0.0,0.0,0.7071067811865476,neutral,"['untuk', 'indonesia', 'yang', 'lebih', 'baik']","['indonesia', 'yang', 'lebih', 'baik']",['untuk'],"['untuk', 'indonesia', 'yang', 'lebih', 'baik']","[{'word': 'untuk', 'score': 0.0, 'matched': False}, {'word': 'indonesia', 'score': 0.0, 'matched': True}, {'word': 'yang', 'score': -4.0, 'matched': True}, {'word': 'lebih', 'score': 0.8, 'matched': True}, {'word': 'baik', 'score': 0.6400000000000001, 'matched': True}]"
4300,2017-12-22T01:37:45.000Z,Menggantang RUU Sawit Bermanfaat atau Mudarat,gantang RUU sawit manfaat atau mudarat,-0.2,-0.05,0.447213595499958,negative,"['gantang', 'RUU', 'sawit', 'manfaat', 'atau', 'mudarat']","['RUU', 'manfaat', 'mudarat']","['gantang', 'sawit', 'atau']","['gantang', 'RUU', 'sawit', 'manfaat', 'atau', 'mudarat']","[{'word': 'gantang', 'score': 0.0, 'matched': False}, {'word': 'RUU', 'score': 0.0, 'matched': True}, {'word': 'sawit', 'score': 0.0, 'matched': False}, {'word': 'manfaat', 'score': 0.8, 'matched': True}, {'word': 'atau', 'score': 0.0, 'matched': False}, {'word': 'mudarat', 'score': -4.0, 'matched': True}]"
4307,2017-12-21T04:16:12.000Z,Peradilan di Bawah Tekanan Itu karena Undang Undang Peradilan mungkin dibuat untuk kepentingan EGO PEMBENARAN DIRI Oknum Anggota DPR,adil di bawah tekan itu karena undang undang adil mungkin buat untuk penting EGO BENAR DIRI oknum anggota DPR,-2.6,-0.65,0.5477225575051661,negative,"['adil', 'di', 'bawah', 'tekan', 'itu', 'karena', 'undang', 'undang', 'adil', 'mungkin', 'buat', 'untuk', 'penting', 'EGO', 'BENAR', 'DIRI', 'oknum', 'anggota', 'DPR']","['adil', 'tekan', 'itu', 'karena', 'undang', 'undang', 'adil', 'mungkin', 'buat', 'penting', 'EGO', 'BENAR', 'DIRI', 'oknum', 'anggota', 'DPR']","['di', 'bawah', 'untuk']","['adil', 'di', 'bawah', 'tekan', 'itu', 'karena', 'undang', 'undang', 'adil', 'mungkin', 'buat', 'untuk', 'penting', 'EGO', 'BENAR', 'DIRI', 'oknum', 'anggota', 'DPR']","[{'word': 'adil', 'score': 0.96, 'matched': True}, {'word': 'di', 'score': 0.0, 'matched': False}, {'word': 'bawah', 'score': 0.0, 'matched': False}, {'word': 'tekan', 'score': -0.8, 'matched': True}, {'word': 'itu', 'score': -1.6, 'matched': True}, {'word': 'karena', 'score': -2.4000000000000004, 'matched': True}, {'word': 'undang', 'score': 0.0, 'matched': True}, {'word': 'undang', 'score': 0.0, 'matched': True}, {'word': 'adil', 'score': 0.96, 'matched': True}, {'word': 'mungkin', 'score': -0.8, 'matched': True}, {'word': 'buat', 'score': 0.8, 'matched': True}, {'word': 'untuk', 'score': 0.0, 'matched': False}, {'word': 'penting', 'score': 2.4000000000000004, 'matched': True}, {'word': 'EGO', 'score': -2.4000000000000004, 'matched': True}, {'word': 'BENAR', 'score': 1.6, 'matched': True}, {'word': 'DIRI', 'score': -0.8, 'matched': True}, {'word': 'oknum', 'score': -0.96, 'matched': True}, {'word': 'anggota', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}]"
4317,2017-12-20T04:24:47.000Z,Ginilah prof klo RUU terus tdk rampung akan jd kekakcauan di masyarakat di mana dewan perwakilan rakyat DPR yg menyuarakan mewakili rakyat jika RUU ZINA DAN LGBT tdk kunjung rampung karna zina dan lgbt sangat meresah kan lingkungan masyarakat,gin prof jika RUU terus tidak rampung akan jadi kekakcauan di masyarakat di mana dewan wakil rakyat DPR yang suara wakil rakyat jika RUU ZINA DAN LGBT tidak kunjung rampung karena zina dan lgbt sangat resah kan lingkung masyarakat,-1.8,-0.45,0.447213595499958,negative,"['gin', 'prof', 'jika', 'RUU', 'terus', 'tidak', 'rampung', 'akan', 'jadi', 'kekakcauan', 'di', 'masyarakat', 'di', 'mana', 'dewan', 'wakil', 'rakyat', 'DPR', 'yang', 'suara', 'wakil', 'rakyat', 'jika', 'RUU', 'ZINA', 'DAN', 'LGBT', 'tidak', 'kunjung', 'rampung', 'karena', 'zina', 'dan', 'lgbt', 'sangat', 'resah', 'kan', 'lingkung', 'masyarakat']","['prof', 'RUU', 'tidak', 'rampung', 'jadi', 'kekakcauan', 'masyarakat', 'dewan', 'wakil', 'rakyat', 'DPR', 'yang', 'suara', 'wakil', 'rakyat', 'RUU', 'ZINA', 'tidak', 'kunjung', 'rampung', 'karena', 'zina', 'sangat', 'resah', 'masyarakat']","['gin', 'jika', 'terus', 'akan', 'di', 'di', 'mana', 'jika', 'DAN', 'LGBT', 'dan', 'lgbt', 'kan', 'lingkung']","['gin', 'prof', 'jika', 'RUU', 'terus', 'tidak', 'rampung', 'akan', 'jadi', 'kekakcauan', 'di', 'masyarakat', 'di', 'mana', 'dewan', 'wakil', 'rakyat', 'DPR', 'yang', 'suara', 'wakil', 'rakyat', 'jika', 'RUU', 'ZINA', 'DAN', 'LGBT', 'tidak', 'kunjung', 'rampung', 'karena', 'zina', 'dan', 'lgbt', 'sangat', 'resah', 'kan', 'lingkung', 'masyarakat']","[{'word': 'gin', 'score': 0.0, 'matched': False}, {'word': 'prof', 'score': 0.0, 'matched': True}, {'word': 'jika', 'score': 0.0, 'matched': False}, {'word': 'RUU', 'score': 0.0, 'matched': True}, {'word': 'terus', 'score': 0.0, 'matched': False}, {'word': 'tidak', 'score': -4.0, 'matched': True}, {'word': 'rampung', 'score': 2.4000000000000004, 'matched': True}, {'word': 'akan', 'score': 0.0, 'matched': False}, {'word': 'jadi', 'score': 0.8, 'matched': True}, {'word': 'kekakcauan', 'score': -1.6, 'matched': True}, {'word': 'di', 'score': 0.0, 'matched': False}, {'word': 'masyarakat', 'score': 0.0, 'matched': True}, {'word': 'di', 'score': 0.0, 'matched': False}, {'word': 'mana', 'score': 0.0, 'matched': False}, {'word': 'dewan', 'score': 0.0, 'matched': True}, {'word': 'wakil', 'score': 0.0, 'matched': True}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'yang', 'score': -4.0, 'matched': True}, {'word': 'suara', 'score': 1.6, 'matched': True}, {'word': 'wakil', 'score': 0.0, 'matched': True}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'jika', 'score': 0.0, 'matched': False}, {'word': 'RUU', 'score': 0.0, 'matched': True}, {'word': 'ZINA', 'score': -1.2000000000000002, 'matched': True}, {'word': 'DAN', 'score': 0.0, 'matched': False}, {'word': 'LGBT', 'score': 0.0, 'matched': False}, {'word': 'tidak', 'score': -4.0, 'matched': True}, {'word': 'kunjung', 'score': 2.4000000000000004, 'matched': True}, {'word': 'rampung', 'score': 2.4000000000000004, 'matched': True}, {'word': 'karena', 'score': -2.4000000000000004, 'matched': True}, {'word': 'zina', 'score': -1.2000000000000002, 'matched': True}, {'word': 'dan', 'score': 0.0, 'matched': False}, {'word': 'lgbt', 'score': 0.0, 'matched': False}, {'word': 'sangat', 'score': 0.0, 'matched': True}, {'word': 'resah', 'score': -4.0, 'matched': True}, {'word': 'kan', 'score': 0.0, 'matched': False}, {'word': 'lingkung', 'score': 0.0, 'matched': False}, {'word': 'masyarakat', 'score': 0.0, 'matched': True}]"
4352,2017-12-18T05:48:13.000Z,Ternyata arek iki terutama yg marah ke MK ditambah dg dikompori politisi senayan beberapa sih baru ngeh bahwa RUU KUHP di itulah UU yg akan dipakai jk nanti sdh disahkan bkn putusan MK barusan Makane rek ojo gumunan ojo mudah dikompori awasi itu pembahasan RUU,nyata arek iki utama yang marah ke MAKA tambah dengan kompor politis senayan beberapa sih baru engah bahwa RUU KUHP di itu UU yang akan pemakaian jika nanti sudah sah bukan keputusan MAKA barusan makane rek ojo gumun ojo mudah kompor awas itu bahas RUU,-0.2,-0.05,0.447213595499958,negative,"['nyata', 'arek', 'iki', 'utama', 'yang', 'marah', 'ke', 'MAKA', 'tambah', 'dengan', 'kompor', 'politis', 'senayan', 'beberapa', 'sih', 'baru', 'engah', 'bahwa', 'RUU', 'KUHP', 'di', 'itu', 'UU', 'yang', 'akan', 'pemakaian', 'jika', 'nanti', 'sudah', 'sah', 'bukan', 'keputusan', 'MAKA', 'barusan', 'makane', 'rek', 'ojo', 'gumun', 'ojo', 'mudah', 'kompor', 'awas', 'itu', 'bahas', 'RUU']","['nyata', 'yang', 'marah', 'tambah', 'kompor', 'senayan', 'engah', 'RUU', 'KUHP', 'itu', 'UU', 'yang', 'nanti', 'sudah', 'bukan', 'keputusan', 'mudah', 'kompor', 'awas', 'itu', 'bahas', 'RUU']","['arek', 'iki', 'utama', 'ke', 'MAKA', 'dengan', 'politis', 'beberapa', 'sih', 'baru', 'bahwa', 'di', 'akan', 'pemakaian', 'jika', 'sah', 'MAKA', 'barusan', 'makane', 'rek', 'ojo', 'gumun', 'ojo']","['nyata', 'arek', 'iki', 'utama', 'yang', 'marah', 'ke', 'MAKA', 'tambah', 'dengan', 'kompor', 'politis', 'senayan', 'beberapa', 'sih', 'baru', 'engah', 'bahwa', 'RUU', 'KUHP', 'di', 'itu', 'UU', 'yang', 'akan', 'pemakaian', 'jika', 'nanti', 'sudah', 'sah', 'bukan', 'keputusan', 'MAKA', 'barusan', 'makane', 'rek', 'ojo', 'gumun', 'ojo', 'mudah', 'kompor', 'awas', 'itu', 'bahas', 'RUU']","[{'word': 'nyata', 'score': 3.2, 'matched': True}, {'word': 'arek', 'score': 0.0, 'matched': False}, {'word': 'iki', 'score': 0.0, 'matched': False}, {'word': 'utama', 'score': 0.0, 'matched': False}, {'word': 'yang', 'score': -4.0, 'matched': True}, {'word': 'marah', 'score': -4.0, 'matched': True}, {'word': 'ke', 'score': 0.0, 'matched': False}, {'word': 'MAKA', 'score': 0.0, 'matched': False}, {'word': 'tambah', 'score': 2.4000000000000004, 'matched': True}, {'word': 'dengan', 'score': 0.0, 'matched': False}, {'word': 'kompor', 'score': -3.2, 'matched': True}, {'word': 'politis', 'score': 0.0, 'matched': False}, {'word': 'senayan', 'score': 0.0, 'matched': True}, {'word': 'beberapa', 'score': 0.0, 'matched': False}, {'word': 'sih', 'score': 0.0, 'matched': False}, {'word': 'baru', 'score': 0.0, 'matched': False}, {'word': 'engah', 'score': 0.8, 'matched': True}, {'word': 'bahwa', 'score': 0.0, 'matched': False}, {'word': 'RUU', 'score': 0.0, 'matched': True}, {'word': 'KUHP', 'score': 0.0, 'matched': True}, {'word': 'di', 'score': 0.0, 'matched': False}, {'word': 'itu', 'score': -1.6, 'matched': True}, {'word': 'UU', 'score': 0.0, 'matched': True}, {'word': 'yang', 'score': -4.0, 'matched': True}, {'word': 'akan', 'score': 0.0, 'matched': False}, {'word': 'pemakaian', 'score': 0.0, 'matched': False}, {'word': 'jika', 'score': 0.0, 'matched': False}, {'word': 'nanti', 'score': -1.6, 'matched': True}, {'word': 'sudah', 'score': 0.0, 'matched': True}, {'word': 'sah', 'score': 0.0, 'matched': False}, {'word': 'bukan', 'score': -2.4000000000000004, 'matched': True}, {'word': 'keputusan', 'score': 0.0, 'matched': True}, {'word': 'MAKA', 'score': 0.0, 'matched': False}, {'word': 'barusan', 'score': 0.0, 'matched': False}, {'word': 'makane', 'score': 0.0, 'matched': False}, {'word': 'rek', 'score': 0.0, 'matched': False}, {'word': 'ojo', 'score': 0.0, 'matched': False}, {'word': 'gumun', 'score': 0.0, 'matched': False}, {'word': 'ojo', 'score': 0.0, 'matched': False}, {'word': 'mudah', 'score': 3.2, 'matched': True}, {'word': 'kompor', 'score': -3.2, 'matched': True}, {'word': 'awas', 'score': 3.2, 'matched': True}, {'word': 'itu', 'score': -1.6, 'matched': True}, {'word': 'bahas', 'score': 0.0, 'matched': True}, {'word': 'RUU', 'score': 0.0, 'matched': True}]"
4371,2017-12-16T13:25:11.000Z,Cc tanya prof kapan ya selesaikan RUU KUHP dulu alasannya ndak cukup waktu dan serahkan ke DPR Sekarang sdh mau berakhir koq ndak selesai juga Masa nunggu rakyat gugat terus ke MK? Curiga saya ini Mau lepas tangan lagi Hehe,cc tanya prof kapan ya selesai RUU KUHP dulu alas indak cukup waktu dan serah ke DPR sekarang sudah mau akhir kok indak selesai juga masa tunggu rakyat penggugatan terus ke MK ? curiga saya ini mau lepas tangan lagi hehe,-1.6,-0.4,0.5477225575051661,negative,"['cc', 'tanya', 'prof', 'kapan', 'ya', 'selesai', 'RUU', 'KUHP', 'dulu', 'alas', 'indak', 'cukup', 'waktu', 'dan', 'serah', 'ke', 'DPR', 'sekarang', 'sudah', 'mau', 'akhir', 'kok', 'indak', 'selesai', 'juga', 'masa', 'tunggu', 'rakyat', 'penggugatan', 'terus', 'ke', 'MK', '?', 'curiga', 'saya', 'ini', 'mau', 'lepas', 'tangan', 'lagi', 'hehe']","['tanya', 'prof', 'ya', 'selesai', 'RUU', 'KUHP', 'cukup', 'waktu', 'serah', 'DPR', 'sudah', 'mau', 'akhir', 'selesai', 'masa', 'tunggu', 'rakyat', 'curiga', 'saya', 'mau', 'lepas', 'tangan', 'lagi']","['cc', 'kapan', 'dulu', 'alas', 'indak', 'dan', 'ke', 'sekarang', 'kok', 'indak', 'juga', 'penggugatan', 'terus', 'ke', 'MK', '?', 'ini', 'hehe']","['cc', 'tanya', 'prof', 'kapan', 'ya', 'selesai', 'RUU', 'KUHP', 'dulu', 'alas', 'indak', 'cukup', 'waktu', 'dan', 'serah', 'ke', 'DPR', 'sekarang', 'sudah', 'mau', 'akhir', 'kok', 'indak', 'selesai', 'juga', 'masa', 'tunggu', 'rakyat', 'penggugatan', 'terus', 'ke', 'MK', '?', 'curiga', 'saya', 'ini', 'mau', 'lepas', 'tangan', 'lagi', 'hehe']","[{'word': 'cc', 'score': 0.0, 'matched': False}, {'word': 'tanya', 'score': 1.6, 'matched': True}, {'word': 'prof', 'score': 0.0, 'matched': True}, {'word': 'kapan', 'score': 0.0, 'matched': False}, {'word': 'ya', 'score': 0.0, 'matched': True}, {'word': 'selesai', 'score': 1.6, 'matched': True}, {'word': 'RUU', 'score': 0.0, 'matched': True}, {'word': 'KUHP', 'score': 0.0, 'matched': True}, {'word': 'dulu', 'score': 0.0, 'matched': False}, {'word': 'alas', 'score': 0.0, 'matched': False}, {'word': 'indak', 'score': 0.0, 'matched': False}, {'word': 'cukup', 'score': -4.0, 'matched': True}, {'word': 'waktu', 'score': 0.0, 'matched': True}, {'word': 'dan', 'score': 0.0, 'matched': False}, {'word': 'serah', 'score': 1.6, 'matched': True}, {'word': 'ke', 'score': 0.0, 'matched': False}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'sekarang', 'score': 0.0, 'matched': False}, {'word': 'sudah', 'score': 0.0, 'matched': True}, {'word': 'mau', 'score': 0.0, 'matched': True}, {'word': 'akhir', 'score': 0.0, 'matched': True}, {'word': 'kok', 'score': 0.0, 'matched': False}, {'word': 'indak', 'score': 0.0, 'matched': False}, {'word': 'selesai', 'score': 1.6, 'matched': True}, {'word': 'juga', 'score': 0.0, 'matched': False}, {'word': 'masa', 'score': 0.0, 'matched': True}, {'word': 'tunggu', 'score': 0.8, 'matched': True}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'penggugatan', 'score': 0.0, 'matched': False}, {'word': 'terus', 'score': 0.0, 'matched': False}, {'word': 'ke', 'score': 0.0, 'matched': False}, {'word': 'MK', 'score': 0.0, 'matched': False}, {'word': '?', 'score': 0.0, 'matched': False}, {'word': 'curiga', 'score': 0.8, 'matched': True}, {'word': 'saya', 'score': -2.4000000000000004, 'matched': True}, {'word': 'ini', 'score': 0.0, 'matched': False}, {'word': 'mau', 'score': 0.0, 'matched': True}, {'word': 'lepas', 'score': -1.6, 'matched': True}, {'word': 'tangan', 'score': 0.8, 'matched': True}, {'word': 'lagi', 'score': -2.4000000000000004, 'matched': True}, {'word': 'hehe', 'score': 0.0, 'matched': False}]"
4375,2017-12-16T07:50:27.000Z,Kan udah ada di RUU ih,kan sudah ada di RUU ih,-0.4,-0.1,0.5477225575051662,negative,"['kan', 'sudah', 'ada', 'di', 'RUU', 'ih']","['sudah', 'ada', 'RUU']","['kan', 'di', 'ih']","['kan', 'sudah', 'ada', 'di', 'RUU', 'ih']","[{'word': 'kan', 'score': 0.0, 'matched': False}, {'word': 'sudah', 'score': 0.0, 'matched': True}, {'word': 'ada', 'score': 0.0, 'matched': True}, {'word': 'di', 'score': 0.0, 'matched': False}, {'word': 'RUU', 'score': 0.0, 'matched': True}, {'word': 'ih', 'score': 0.0, 'matched': False}]"
4376,2017-12-16T07:30:16.000Z,Reses Bersama FPKB DPR RI melalui,reses sama FPKB DPR RI lalu,-0.4,-0.1,0.894427190999916,negative,"['reses', 'sama', 'FPKB', 'DPR', 'RI', 'lalu']","['reses', 'sama', 'DPR', 'RI', 'lalu']",['FPKB'],"['reses', 'sama', 'FPKB', 'DPR', 'RI', 'lalu']","[{'word': 'reses', 'score': 0.0, 'matched': True}, {'word': 'sama', 'score': 2.4000000000000004, 'matched': True}, {'word': 'FPKB', 'score': 0.0, 'matched': False}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'RI', 'score': 0.0, 'matched': True}, {'word': 'lalu', 'score': 0.0, 'matched': True}]"
