no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category,tokens,matched_words,ignored_words,unmatched_words
5661,2017-08-24T07:25:11.000Z,info RUU APBN,info RUU APBN,0.0,0.0,0.0,neutral,"['info', 'RUU', 'APBN']","['info', 'RUU', 'APBN']",[],[]
5669,2017-08-23T09:24:53.000Z,Penerapan TV digital masih terganjal RUU Penyiaran di DPR RI,penerapan TV digital masih terganjal RUU penyiaran di DPR RI,-1.6,-0.4,0.5477225575051661,negative,"['penerapan', 'TV', 'digital', 'masih', 'terganjal', 'RUU', 'penyiaran', 'di', 'DPR', 'RI']","['penerapan', 'masih', 'terganjal', 'RUU', 'penyiaran', 'DPR', 'RI']",[],"['TV', 'digital', 'di']"
5723,2017-08-16T07:19:20.000Z,memimpin Rapat Paripurna DPR RI,memimpin rapat paripurna DPR RI,0.0,0.0,0.0,neutral,"['memimpin', 'rapat', 'paripurna', 'DPR', 'RI']","['memimpin', 'rapat', 'paripurna', 'DPR', 'RI']",[],[]
5791,2017-08-10T01:29:08.000Z,reses dpr ri dasco kunjungi KGN kab tangerang,reses dpr ri dasco kunjungi KANGEN kab tangerang,0.0,0.0,0.0,neutral,"['reses', 'dpr', 'ri', 'dasco', 'kunjungi', 'KANGEN', 'kab', 'tangerang']","['reses', 'dpr', 'ri', 'kunjungi', 'KANGEN', 'kab', 'tangerang']",[],['dasco']
5808,2017-08-07T14:28:31.000Z,Sebagai anggota DPR RI dalam agenda reses,sebagai anggota DPR RI dalam agenda reses,0.0,0.0,0.0,neutral,"['sebagai', 'anggota', 'DPR', 'RI', 'dalam', 'agenda', 'reses']","['sebagai', 'anggota', 'DPR', 'RI', 'dalam', 'agenda', 'reses']",[],[]
5824,2017-08-04T08:50:08.000Z,Ini komentar anggota DPR soal RUU KUP,ini komentar anggota DPR soal RUU KUP,0.0,0.0,0.0,neutral,"['ini', 'komentar', 'anggota', 'DPR', 'soal', 'RUU', 'KUP']","['komentar', 'anggota', 'DPR', 'soal', 'RUU']",[],"['ini', 'KUP']"
5893,2017-07-27T04:50:01.000Z,Pendapat Akhir Pemerintah terhadap RUU tentang Pertanggungjawaban atas Pelaksanaan APBN TA ParipurnaDPR,pendapat akhir pemerintah terhadap RUU tentang pertanggungjawaban atas pelaksanaan APBN TA paripurnadpr,0.0,0.0,0.0,neutral,"['pendapat', 'akhir', 'pemerintah', 'terhadap', 'RUU', 'tentang', 'pertanggungjawaban', 'atas', 'pelaksanaan', 'APBN', 'TA', 'paripurnadpr']","['pendapat', 'akhir', 'pemerintah', 'RUU', 'tentang', 'pertanggungjawaban', 'atas', 'pelaksanaan', 'APBN', 'TA', 'paripurnadpr']",[],['terhadap']
5921,2017-07-24T13:22:46.000Z,Saat ini badan legislasi sedang melakukan penyusunan prolegnas RUU Prioritas tahun,saat ini badan legislasi sedang melakukan penyusunan prolegnas RUU prioritas tahun,0.0,0.0,0.0,neutral,"['saat', 'ini', 'badan', 'legislasi', 'sedang', 'melakukan', 'penyusunan', 'prolegnas', 'RUU', 'prioritas', 'tahun']","['badan', 'legislasi', 'penyusunan', 'prolegnas', 'RUU', 'prioritas', 'tahun']",[],"['saat', 'ini', 'sedang', 'melakukan']"
5928,2017-07-24T04:52:27.000Z,Dorong Segera Seriusi RUU Redenominasi,dorong segera seriusi RUU redenominasi,-0.6,-0.15,0.8944271909999161,negative,"['dorong', 'segera', 'seriusi', 'RUU', 'redenominasi']","['dorong', 'segera', 'seriusi', 'RUU']",[],['redenominasi']
5933,2017-07-23T13:36:06.000Z,KONI Bojonegoro Adakan Kejuaraan Voli,KONI bojonegoro adakan kejuaraan voli,-0.4,-0.1,0.894427190999916,negative,"['KONI', 'bojonegoro', 'adakan', 'kejuaraan', 'voli']",['bojonegoro'],[],"['KONI', 'adakan', 'kejuaraan', 'voli']"
5940,2017-07-22T16:13:26.000Z,KAMI INGIN TAHU seberapa ingin anda bila ILC Selasa Juli mengangkat topik UU Pemilu Presidential Threshold RT bila setuju,KAMI INGIN TAHU seberapa ingin anda bila ILC selasa juli mengangkat topik UU pemilu presidential threshold RT bila setuju,0.0,0.0,0.0,neutral,"['KAMI', 'INGIN', 'TAHU', 'seberapa', 'ingin', 'anda', 'bila', 'ILC', 'selasa', 'juli', 'mengangkat', 'topik', 'UU', 'pemilu', 'presidential', 'threshold', 'RT', 'bila', 'setuju']","['TAHU', 'selasa', 'juli', 'UU', 'pemilu', 'setuju']",['anda'],"['KAMI', 'INGIN', 'seberapa', 'ingin', 'bila', 'ILC', 'mengangkat', 'topik', 'presidential', 'threshold', 'RT', 'bila']"
5954,2017-07-22T06:53:23.000Z,anggota DPR melakukan walk out saat berlangsungnya rapat paripurna DagelanWalkOut,anggota DPR melakukan walk out saat berlangsungnya rapat paripurna dagelanwalkout,-2.4,-0.6,0.5477225575051661,negative,"['anggota', 'DPR', 'melakukan', 'walk', 'out', 'saat', 'berlangsungnya', 'rapat', 'paripurna', 'dagelanwalkout']","['anggota', 'DPR', 'rapat', 'paripurna', 'dagelanwalkout']",[],"['melakukan', 'walk', 'out', 'saat', 'berlangsungnya']"
6011,2017-07-20T18:01:26.000Z,Sidang Paripurna di DPR RI yang membahas RUU Pemilu telah selesai dilaksanakan Ach ElshintaNewsAndTalk,sidang paripurna di DPR RI yang membahas RUU pemilu telah selesai dilaksanakan ach elshintanewsandtalk,0.0,0.0,0.0,neutral,"['sidang', 'paripurna', 'di', 'DPR', 'RI', 'yang', 'membahas', 'RUU', 'pemilu', 'telah', 'selesai', 'dilaksanakan', 'ach', 'elshintanewsandtalk']","['sidang', 'paripurna', 'DPR', 'RI', 'membahas', 'RUU', 'pemilu', 'selesai', 'dilaksanakan']",['yang'],"['di', 'telah', 'ach', 'elshintanewsandtalk']"
6051,2017-07-20T15:16:42.000Z,LintasINFO Suasana jelang Rapat Paripurna di Rep,lintasinfo suasana jelang rapat paripurna di rep,0.0,0.0,0.0,neutral,"['lintasinfo', 'suasana', 'jelang', 'rapat', 'paripurna', 'di', 'rep']","['suasana', 'jelang', 'rapat', 'paripurna']",[],"['lintasinfo', 'di', 'rep']"
6056,2017-07-20T14:40:57.000Z,Kelihatan RUU Pemilu yg akan disahkan malam ini ngga jd perhatian masyarakat TL,kelihatan RUU pemilu yang akan disahkan malam ini tidak jadi perhatian masyarakat TL,-1.0,-0.25,0.0,negative,"['kelihatan', 'RUU', 'pemilu', 'yang', 'akan', 'disahkan', 'malam', 'ini', 'tidak', 'jadi', 'perhatian', 'masyarakat', 'TL']","['RUU', 'pemilu', 'disahkan', 'malam', 'jadi', 'perhatian', 'masyarakat']","['yang', 'tidak']","['kelihatan', 'akan', 'ini', 'TL']"
6101,2017-07-20T03:46:34.000Z,Bukan pengesahan RUU Pemilu dipimpin,bukan pengesahan RUU pemilu dipimpin,0.0,0.0,0.0,neutral,"['bukan', 'pengesahan', 'RUU', 'pemilu', 'dipimpin']","['pengesahan', 'RUU', 'pemilu', 'dipimpin']",['bukan'],[]
6165,2017-07-14T03:03:54.000Z,Saya juga kaget membacanya,saya juga kaget membacanya,-0.2,-0.05,0.447213595499958,negative,"['saya', 'juga', 'kaget', 'membacanya']",['kaget'],['saya'],"['juga', 'membacanya']"
6241,2017-07-11T12:44:00.000Z,Mereka yg di DPR bukan wakil rakyat tetapi wakil partai Merka bekerja ntuk kpntingn partai bukan untuk rakyat Bikin RUU sja gabecus,mereka yang di DPR bukan wakil rakyat tetapi wakil partai mereka bekerja ntuk kpntingn partai bukan untuk rakyat bikin RUU saja gabecus,-3.8,-0.95,0.4472135954999578,negative,"['mereka', 'yang', 'di', 'DPR', 'bukan', 'wakil', 'rakyat', 'tetapi', 'wakil', 'partai', 'mereka', 'bekerja', 'ntuk', 'kpntingn', 'partai', 'bukan', 'untuk', 'rakyat', 'bikin', 'RUU', 'saja', 'gabecus']","['mereka', 'DPR', 'wakil', 'rakyat', 'wakil', 'partai', 'mereka', 'partai', 'rakyat', 'RUU', 'saja', 'gabecus']","['yang', 'bukan', 'bukan']","['di', 'tetapi', 'bekerja', 'ntuk', 'kpntingn', 'untuk', 'bikin']"
6278,2017-07-10T04:10:15.000Z,Banggar DPR raker dengan Menkopolhukam Menko Kemaritiman membahas RKA K L RUU APBNP BanggarDPR,banggar DPR raker dengan menkopolhukam menko kemaritiman membahas RKA ke l RUU APBNP banggardpr,0.0,0.0,0.0,neutral,"['banggar', 'DPR', 'raker', 'dengan', 'menkopolhukam', 'menko', 'kemaritiman', 'membahas', 'RKA', 'ke', 'l', 'RUU', 'APBNP', 'banggardpr']","['banggar', 'DPR', 'raker', 'membahas', 'RKA', 'RUU', 'APBNP', 'banggardpr']",[],"['dengan', 'menkopolhukam', 'menko', 'kemaritiman', 'ke', 'l']"
6283,2017-07-09T08:01:50.000Z,DPR Lanjutkan Pembahasan RUU Perkelapasawitan,DPR lanjutkan pembahasan RUU perkelapasawitan,0.0,0.0,0.0,neutral,"['DPR', 'lanjutkan', 'pembahasan', 'RUU', 'perkelapasawitan']","['DPR', 'lanjutkan', 'pembahasan', 'RUU']",[],['perkelapasawitan']
6330,2017-07-06T13:12:50.000Z,RUU KUHP Ditargetkan Selesai Periode Ini,RUU KUHP ditargetkan selesai periode ini,-0.2,-0.05,0.447213595499958,negative,"['RUU', 'KUHP', 'ditargetkan', 'selesai', 'periode', 'ini']","['RUU', 'KUHP', 'ditargetkan', 'selesai', 'periode']",[],['ini']
6376,2017-07-05T00:48:25.000Z,Usul segera hentikan manuver politik yg tdk berguna buang waktu spt hak angket thdp agar fokus ke RUU Pemilu,usul segera hentikan manuver politik yang tidak berguna buang waktu seperti hak angket terhadap agar fokus ke RUU pemilu,-1.6,-0.4,0.8944271909999159,negative,"['usul', 'segera', 'hentikan', 'manuver', 'politik', 'yang', 'tidak', 'berguna', 'buang', 'waktu', 'seperti', 'hak', 'angket', 'terhadap', 'agar', 'fokus', 'ke', 'RUU', 'pemilu']","['usul', 'segera', 'hentikan', 'manuver', 'politik', 'berguna', 'buang', 'waktu', 'seperti', 'hak', 'angket', 'agar', 'fokus', 'RUU', 'pemilu']","['yang', 'tidak']","['terhadap', 'ke']"
6397,2017-07-04T02:18:01.000Z,Apakah RUU Pemilu akan selesai di Bulan Juli ?,apakah RUU pemilu akan selesai di bulan juli ?,-0.8,-0.2,0.447213595499958,negative,"['apakah', 'RUU', 'pemilu', 'akan', 'selesai', 'di', 'bulan', 'juli', '?']","['RUU', 'pemilu', 'selesai', 'bulan', 'juli']",[],"['apakah', 'akan', 'di', '?']"
6407,2017-07-03T07:42:24.000Z,saya menyatakam mendesak DPR untuk mensahkan undang undang anti teror secepatnya,saya menyatakam mendesak DPR untuk mensahkan undang undang anti teror secepatnya,-0.2,-0.05,1.0954451150103324,negative,"['saya', 'menyatakam', 'mendesak', 'DPR', 'untuk', 'mensahkan', 'undang', 'undang', 'anti', 'teror', 'secepatnya']","['mendesak', 'DPR', 'mensahkan', 'undang', 'undang', 'anti', 'teror', 'secepatnya']",['saya'],"['menyatakam', 'untuk']"
6414,2017-07-02T09:53:32.000Z,kpn RUU anti teroris jd? Hrs nunggu ada anggota DPR jd korbankah spt hak angket yg dikebut ketika ada yg kena e ktp?,kapan RUU anti teroris jd ? harus menunggu ada anggota DPR jadi korbankah seperti hak angket yang dikebut ketika ada yang kena e ktp ?,-2.8,-0.7,0.4472135954999578,negative,"['kapan', 'RUU', 'anti', 'teroris', 'jd', '?', 'harus', 'menunggu', 'ada', 'anggota', 'DPR', 'jadi', 'korbankah', 'seperti', 'hak', 'angket', 'yang', 'dikebut', 'ketika', 'ada', 'yang', 'kena', 'e', 'ktp', '?']","['RUU', 'anti', 'teroris', 'menunggu', 'ada', 'anggota', 'DPR', 'jadi', 'seperti', 'hak', 'angket', 'dikebut', 'ada', 'kena']","['harus', 'yang', 'yang']","['kapan', 'jd', '?', 'korbankah', 'ketika', 'e', 'ktp', '?']"
6451,2017-06-27T22:05:34.000Z,Mrk masuk utk brkembang biak di NKRI KRN SUAMINYA SDH TERDESAK! MSH JG DEBAT MSLH MSK DLM RUU!GOBLOK PENDONOR ISIS X?,mereka masuk untuk brkembang biak di NKRI KARENA SUAMINYA SUDAH TERDESAK ! MASIH JUGA DEBAT MASALAH MASUK DALAM RUU ! GOBLOK PENDONOR ISIS X ?,-4.0,-1.0,0.0,negative,"['mereka', 'masuk', 'untuk', 'brkembang', 'biak', 'di', 'NKRI', 'KARENA', 'SUAMINYA', 'SUDAH', 'TERDESAK', '!', 'MASIH', 'JUGA', 'DEBAT', 'MASALAH', 'MASUK', 'DALAM', 'RUU', '!', 'GOBLOK', 'PENDONOR', 'ISIS', 'X', '?']","['mereka', 'masuk', 'biak', 'NKRI', 'TERDESAK', 'MASIH', 'DEBAT', 'MASALAH', 'MASUK', 'DALAM', 'RUU', 'GOBLOK', 'X']","['KARENA', 'SUDAH']","['untuk', 'brkembang', 'di', 'SUAMINYA', '!', 'JUGA', '!', 'PENDONOR', 'ISIS', '?']"
6482,2017-06-19T09:35:04.000Z,Untuk Majukan PT Tidak Bisa Diberikan Kebijakan Sama,untuk majukan PT tidak bisa diberikan kebijakan sama,0.0,0.0,0.0,neutral,"['untuk', 'majukan', 'PT', 'tidak', 'bisa', 'diberikan', 'kebijakan', 'sama']","['majukan', 'kebijakan', 'sama']",['tidak'],"['untuk', 'PT', 'bisa', 'diberikan']"
6607,2017-06-11T10:54:35.000Z,punya fungsi mengawasi yg dijamin undang undang,punya fungsi mengawasi yang dijamin undang undang,0.0,0.0,0.0,neutral,"['punya', 'fungsi', 'mengawasi', 'yang', 'dijamin', 'undang', 'undang']","['punya', 'fungsi', 'mengawasi', 'dijamin', 'undang', 'undang']",['yang'],[]
6616,2017-06-10T14:29:02.000Z,kngen juga leat Sinetron walk out sambil menangis dr pas pengesahan kenaikan BBM di era Rezim dulu,kangen juga leat sinetron walk out sambil menangis dari pas pengesahan kenaikan BBM di era rezim dulu,-1.6,-0.4,0.8944271909999161,negative,"['kangen', 'juga', 'leat', 'sinetron', 'walk', 'out', 'sambil', 'menangis', 'dari', 'pas', 'pengesahan', 'kenaikan', 'BBM', 'di', 'era', 'rezim', 'dulu']","['kangen', 'sinetron', 'menangis', 'pas', 'pengesahan', 'kenaikan', 'BBM', 'rezim']",['dari'],"['juga', 'leat', 'walk', 'out', 'sambil', 'di', 'era', 'dulu']"
6674,2017-06-06T07:36:51.000Z,Smoga secepatnya bisa di syahkan RUU Palang Merah Cc,semoga secepatnya bisa di syahkan RUU palang merah cc,1.0,0.25,0.0,positive,"['semoga', 'secepatnya', 'bisa', 'di', 'syahkan', 'RUU', 'palang', 'merah', 'cc']","['semoga', 'secepatnya', 'RUU', 'merah']",[],"['bisa', 'di', 'syahkan', 'palang', 'cc']"
6684,2017-06-05T10:40:13.000Z,Nunggu RUU penyiaran di sahkan oleh,menunggu RUU penyiaran di sahkan oleh,-1.0,-0.25,0.0,negative,"['menunggu', 'RUU', 'penyiaran', 'di', 'sahkan', 'oleh']","['menunggu', 'RUU', 'penyiaran', 'sahkan']",['oleh'],['di']
6744,2017-05-31T01:58:50.000Z,Maju terus Pak Segera dipercepat Pengesahannya,maju terus pak segera dipercepat pengesahannya,1.4,0.35,0.5477225575051661,positive,"['maju', 'terus', 'pak', 'segera', 'dipercepat', 'pengesahannya']","['maju', 'pak', 'segera']",[],"['terus', 'dipercepat', 'pengesahannya']"
6807,2017-05-29T09:50:52.000Z,Anggota Pansus RUU Pemilu mengajukan penambahan Kursi Anggota DPR sedangkan Kemendagri meminta atau kursi,anggota pansus RUU pemilu mengajukan penambahan kursi anggota DPR sedangkan kemendagri meminta atau kursi,-0.6,-0.15,0.5477225575051662,negative,"['anggota', 'pansus', 'RUU', 'pemilu', 'mengajukan', 'penambahan', 'kursi', 'anggota', 'DPR', 'sedangkan', 'kemendagri', 'meminta', 'atau', 'kursi']","['anggota', 'pansus', 'RUU', 'pemilu', 'mengajukan', 'penambahan', 'kursi', 'anggota', 'DPR', 'kemendagri', 'meminta', 'kursi']",[],"['sedangkan', 'atau']"
6830,2017-05-28T14:28:32.000Z,Anggota DPR yg tarik ulur RUU Antiteroris mungkin bagian dri teroris itu sendiri,anggota DPR yang tarik ulur RUU antiteroris mungkin bagian dari teroris itu sendiri,-3.6,-0.9,0.5477225575051661,negative,"['anggota', 'DPR', 'yang', 'tarik', 'ulur', 'RUU', 'antiteroris', 'mungkin', 'bagian', 'dari', 'teroris', 'itu', 'sendiri']","['anggota', 'DPR', 'tarik', 'RUU', 'antiteroris', 'mungkin', 'bagian', 'teroris', 'sendiri']","['yang', 'dari', 'itu']",['ulur']
6838,2017-05-27T12:10:20.000Z,Selamat jalan bhayangkaraku,selamat jalan bhayangkaraku,0.0,0.0,0.0,neutral,"['selamat', 'jalan', 'bhayangkaraku']",['selamat'],[],"['jalan', 'bhayangkaraku']"
6841,2017-05-27T03:33:09.000Z,Kapan nih RUU terorisme diketok palu ?,kapan ini RUU terorisme diketok palu ?,-0.8,-0.2,0.4472135954999579,negative,"['kapan', 'ini', 'RUU', 'terorisme', 'diketok', 'palu', '?']","['RUU', 'terorisme', 'diketok', 'palu']",[],"['kapan', 'ini', '?']"
6874,2017-05-23T02:36:14.000Z,RUU Pemilu Segera Divoting,RUU pemilu segera divoting,0.0,0.0,0.0,neutral,"['RUU', 'pemilu', 'segera', 'divoting']","['RUU', 'pemilu', 'segera', 'divoting']",[],[]
6878,2017-05-22T07:36:12.000Z,Hanya Dihadiri Anggota DPR Pembahasan RUU KUHP Ditunda,hanya dihadiri anggota DPR pembahasan RUU KUHP ditunda,-2.2,-0.55,0.4472135954999579,negative,"['hanya', 'dihadiri', 'anggota', 'DPR', 'pembahasan', 'RUU', 'KUHP', 'ditunda']","['hanya', 'dihadiri', 'anggota', 'DPR', 'pembahasan', 'RUU', 'KUHP', 'ditunda']",[],[]
6884,2017-05-21T02:23:44.000Z,kapan RUU ASN untuk honorer di sahkan pak DPR RI,kapan RUU ASN untuk honorer di sahkan pak DPR RI,-1.0,-0.25,0.0,negative,"['kapan', 'RUU', 'ASN', 'untuk', 'honorer', 'di', 'sahkan', 'pak', 'DPR', 'RI']","['RUU', 'ASN', 'honorer', 'sahkan', 'pak', 'DPR', 'RI']",[],"['kapan', 'untuk', 'di']"
6885,2017-05-20T10:24:31.000Z,meminta untuk fokus dalam membahas penyelesaian RUU Pemilu,meminta untuk fokus dalam membahas penyelesaian RUU pemilu,-0.8,-0.2,0.447213595499958,negative,"['meminta', 'untuk', 'fokus', 'dalam', 'membahas', 'penyelesaian', 'RUU', 'pemilu']","['meminta', 'fokus', 'dalam', 'membahas', 'penyelesaian', 'RUU', 'pemilu']",[],['untuk']
6992,2017-05-12T02:16:36.000Z,PAK KOREKSI BAGI KEBIJAKAN PENYEDIAAN AIR BERSIH LAYAK MINUM YA,PAK KOREKSI BAGI KEBIJAKAN PENYEDIAAN AIR BERSIH LAYAK MINUM YA,0.6,0.15,0.8944271909999161,positive,"['PAK', 'KOREKSI', 'BAGI', 'KEBIJAKAN', 'PENYEDIAAN', 'AIR', 'BERSIH', 'LAYAK', 'MINUM', 'YA']","['PAK', 'KOREKSI', 'BAGI', 'KEBIJAKAN', 'AIR', 'BERSIH', 'LAYAK', 'MINUM']",['YA'],['PENYEDIAAN']
7035,2017-05-03T07:16:06.000Z,Undang undang ? N O L B E S A R ! ! ! ! ! ! !,undang undang ? n o l b e si a r ! ! ! ! ! ! !,-3.0,-0.75,0.0,negative,"['undang', 'undang', '?', 'n', 'o', 'l', 'b', 'e', 'si', 'a', 'r', '!', '!', '!', '!', '!', '!', '!']","['undang', 'undang']",[],"['?', 'n', 'o', 'l', 'b', 'e', 'si', 'a', 'r', '!', '!', '!', '!', '!', '!', '!']"
7041,2017-05-02T07:50:05.000Z,Internal Hanura Terbelah Sikapi Hak Angket KPK,internal hanura terbelah sikapi hak angket KPK,-0.4,-0.1,0.5477225575051662,negative,"['internal', 'hanura', 'terbelah', 'sikapi', 'hak', 'angket', 'KPK']","['terbelah', 'hak', 'angket', 'KPK']",[],"['internal', 'hanura', 'sikapi']"
7075,2017-04-29T03:50:08.000Z,RUU Pemilu menghadang Jokowi angket KPK agar anggota DPR yang korupsi bisa lolos dari jeratam hukum,RUU pemilu menghadang jokowi angket KPK agar anggota DPR yang korupsi bisa lolos dari jeratam hukum,-3.0,-0.75,0.0,negative,"['RUU', 'pemilu', 'menghadang', 'jokowi', 'angket', 'KPK', 'agar', 'anggota', 'DPR', 'yang', 'korupsi', 'bisa', 'lolos', 'dari', 'jeratam', 'hukum']","['RUU', 'pemilu', 'menghadang', 'jokowi', 'angket', 'KPK', 'agar', 'anggota', 'DPR', 'korupsi', 'lolos', 'hukum']","['yang', 'dari']","['bisa', 'jeratam']"
7158,2017-04-27T05:45:16.000Z,Pembahasan RUU Pemilu dan Larangan Minol Diperpanjang,pembahasan RUU pemilu dan larangan minol diperpanjang,-0.6,-0.15,0.5477225575051662,negative,"['pembahasan', 'RUU', 'pemilu', 'dan', 'larangan', 'minol', 'diperpanjang']","['pembahasan', 'RUU', 'pemilu', 'larangan']",[],"['dan', 'minol', 'diperpanjang']"
7189,2017-04-27T03:43:36.000Z,Suasana Ruang Rapat Paripurna II Gedung Nusantara II DPR RI ParipurnaDPR,suasana ruang rapat paripurna II gedung nusantara II DPR RI paripurnadpr,0.0,0.0,0.0,neutral,"['suasana', 'ruang', 'rapat', 'paripurna', 'II', 'gedung', 'nusantara', 'II', 'DPR', 'RI', 'paripurnadpr']","['suasana', 'ruang', 'rapat', 'paripurna', 'II', 'gedung', 'nusantara', 'II', 'DPR', 'RI', 'paripurnadpr']",[],[]
7228,2017-04-25T08:05:40.000Z,Komisi XI DPR RDP dengan POLRI Kemendikbud Kemenkes Kemen ESDM KemenkumHAM dan Kementerian BUMN membahas masukan RUU PNBP Komisi,komisi XI DPR RDP dengan POLRI kemendikbud kemenkes kemen ESDM kemenkumham dan kementerian BUMN membahas masukan RUU PNBP komisi,0.0,0.0,0.0,neutral,"['komisi', 'XI', 'DPR', 'RDP', 'dengan', 'POLRI', 'kemendikbud', 'kemenkes', 'kemen', 'ESDM', 'kemenkumham', 'dan', 'kementerian', 'BUMN', 'membahas', 'masukan', 'RUU', 'PNBP', 'komisi']","['komisi', 'XI', 'DPR', 'RDP', 'POLRI', 'kemendikbud', 'kemenkumham', 'BUMN', 'membahas', 'masukan', 'RUU', 'komisi']",[],"['dengan', 'kemenkes', 'kemen', 'ESDM', 'dan', 'kementerian', 'PNBP']"
7271,2017-04-17T03:21:08.000Z,Baleg Setujui RUU Larangan Praktik Monopoli,baleg setujui RUU larangan praktik monopoli,0.6,0.15,0.5477225575051662,positive,"['baleg', 'setujui', 'RUU', 'larangan', 'praktik', 'monopoli']","['baleg', 'setujui', 'RUU', 'larangan', 'monopoli']",[],['praktik']
7301,2017-04-12T09:54:52.000Z,Baleg DPR RI Akan Membahas RUU Revisi UU ASN,baleg DPR RI akan membahas RUU revisi UU ASN,0.0,0.0,0.0,neutral,"['baleg', 'DPR', 'RI', 'akan', 'membahas', 'RUU', 'revisi', 'UU', 'ASN']","['baleg', 'DPR', 'RI', 'membahas', 'RUU', 'revisi', 'UU', 'ASN']",[],['akan']
7320,2017-04-11T05:24:24.000Z,Rapat Paripurna DPR RI Setujui Dua Anggota BPK Terpilih,rapat paripurna DPR RI setujui dua anggota BPK terpilih,0.2,0.05,0.447213595499958,positive,"['rapat', 'paripurna', 'DPR', 'RI', 'setujui', 'dua', 'anggota', 'BPK', 'terpilih']","['rapat', 'paripurna', 'DPR', 'RI', 'setujui', 'dua', 'anggota', 'BPK', 'terpilih']",[],[]
7359,2017-04-06T23:53:17.000Z,Kunjungan kerja Panja RUU Kebudayaan Komisi X DPR RI ke Provinsi Riau,kunjungan kerja panja RUU kebudayaan komisi kali DPR RI ke provinsi riau,0.8,0.2,0.447213595499958,positive,"['kunjungan', 'kerja', 'panja', 'RUU', 'kebudayaan', 'komisi', 'kali', 'DPR', 'RI', 'ke', 'provinsi', 'riau']","['kunjungan', 'kerja', 'panja', 'RUU', 'kebudayaan', 'komisi', 'DPR', 'RI', 'provinsi', 'riau']",[],"['kali', 'ke']"
7435,2017-04-05T10:46:29.000Z,maaf sebelumnya pak di harapkan kebijakan pelayanan yg di berikan tdk hanya di jawa,maaf sebelumnya pak di harapkan kebijakan pelayanan yang di berikan tidak hanya di jawa,-0.2,-0.05,0.447213595499958,negative,"['maaf', 'sebelumnya', 'pak', 'di', 'harapkan', 'kebijakan', 'pelayanan', 'yang', 'di', 'berikan', 'tidak', 'hanya', 'di', 'jawa']","['maaf', 'pak', 'harapkan', 'kebijakan', 'pelayanan', 'hanya', 'jawa']","['yang', 'tidak']","['sebelumnya', 'di', 'di', 'berikan', 'di']"
7438,2017-04-05T08:34:28.000Z,Komisi X DPR Setujui RUU Sisbuk,komisi kali DPR setujui RUU sisbuk,0.8,0.2,0.447213595499958,positive,"['komisi', 'kali', 'DPR', 'setujui', 'RUU', 'sisbuk']","['komisi', 'DPR', 'setujui', 'RUU']",[],"['kali', 'sisbuk']"
7441,2017-04-05T04:20:46.000Z,Mahasiswa Unpar Belajar Pembuatan Kebijakan ke DPR,mahasiswa unpar belajar pembuatan kebijakan ke DPR,0.6,0.15,0.5477225575051662,positive,"['mahasiswa', 'unpar', 'belajar', 'pembuatan', 'kebijakan', 'ke', 'DPR']","['mahasiswa', 'belajar', 'kebijakan', 'DPR']",[],"['unpar', 'pembuatan', 'ke']"
7497,2017-04-03T05:03:08.000Z,Komisi V DPR RI Gelar FGD Himpun Masukan RUU SDA,komisi v DPR RI gelar FGD himpun masukan RUU SDA,0.8,0.2,0.447213595499958,positive,"['komisi', 'v', 'DPR', 'RI', 'gelar', 'FGD', 'himpun', 'masukan', 'RUU', 'SDA']","['komisi', 'v', 'DPR', 'RI', 'gelar', 'FGD', 'himpun', 'masukan', 'RUU', 'SDA']",[],[]
7604,2017-03-22T23:16:04.000Z,Hukuman mati bagi yg korupsi lebih baik dibuat bersama drpd merevisi undang undang,hukuman mati bagi yang korupsi lebih baik dibuat bersama daripada merevisi undang undang,0.0,0.0,0.0,neutral,"['hukuman', 'mati', 'bagi', 'yang', 'korupsi', 'lebih', 'baik', 'dibuat', 'bersama', 'daripada', 'merevisi', 'undang', 'undang']","['hukuman', 'mati', 'bagi', 'korupsi', 'lebih', 'baik', 'bersama', 'merevisi', 'undang', 'undang']",['yang'],"['dibuat', 'daripada']"
7607,2017-03-22T16:28:30.000Z,Meskipun sudah ada Surat Presiden Surpres kepada pimpinan DPR RI pemerintah menegaskan sikapnya terkait,meskipun sudah ada surat presiden surpres kepada pimpinan DPR RI pemerintah menegaskan sikapnya terkait,0.0,0.0,0.0,neutral,"['meskipun', 'sudah', 'ada', 'surat', 'presiden', 'surpres', 'kepada', 'pimpinan', 'DPR', 'RI', 'pemerintah', 'menegaskan', 'sikapnya', 'terkait']","['meskipun', 'ada', 'surat', 'presiden', 'surpres', 'kepada', 'pimpinan', 'DPR', 'RI', 'pemerintah', 'menegaskan', 'terkait']",['sudah'],['sikapnya']
7654,2017-03-20T04:58:38.000Z,Ini Lanjutan Revisi UU MD,ini lanjutan revisi UU MD,0.0,0.0,0.0,neutral,"['ini', 'lanjutan', 'revisi', 'UU', 'MD']","['revisi', 'UU']",[],"['ini', 'lanjutan', 'MD']"
