no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category
3953,2016-05-04T02:14:54.000Z,Sktr bln lalu ada petisi utk DPR RI agar memskkan RUU Penghapusan Kekerasan Seksual namun hg saat ini hny org yg ttd,sktr bulan lalu ada petisi untuk DPR RI agar memskkan RUU hapus keras seksual tetapi hg saat ini hanya orang yang ttd,-1.0,-0.25,0.0,negative
4025,2016-04-29T06:01:12.000Z,gelar Rapat Paripurna penutupan masa sidang,gelar rapat paripurna tutup masa sidang,0.0,0.0,0.0,neutral
4027,2016-04-29T04:37:17.000Z,Pembahasan RUU Tax Amnesty Dilanjutkan Setelah Reses DPR Pemerintah bersama Dewan Perwakilan Rakyat DPR ak,bahas RUU tax amnesty lanjut telah reses DPR pemerintah sama dewan wakil rakyat DPR aku,0.0,0.0,0.0,neutral
4033,2016-04-29T03:44:07.000Z,Ketua DPR Yakin RUU Pengampunan Pajak Selesai Mei,ketua DPR yakin RUU ampun pajak selesai mei,0.6,0.15,0.5477225575051662,positive
4070,2016-04-28T17:33:31.000Z,info DPR RI Akhirnya Siapkan Panja RUU Tax Amnesty,info DPR RI akhir siap panja RUU tax amnesty,0.6,0.15,0.5477225575051662,positive
4108,2016-04-28T04:53:51.000Z,Komisi XI Rapat Kerja dengan Menteri PPN Kepala Bappenas membahas RUU Tax Amnesty DPRLive,komisi XI rapat kerja dengan menteri PPN kepala bappenas bahas RUU tax amnesty dprlive,0.0,0.0,0.0,neutral
4143,2016-04-27T11:00:38.000Z,DPR dan Pemerintah Bertekad Lindungi Pekerja Migran di Luar Negeri RUU ini akan membuat pekerja merasa sebagai,DPR dan pemerintah tekad lindung kerja migran di luar negeri RUU ini akan buat kerja rasa bagai,1.0,0.25,0.0,positive
4180,2017-12-29T12:12:32.000Z,Banda Aceh Pemerintah dan Dewan Perwakilan Rakyat Aceh Didorong agar mempercepat pengesahan anggaran,banda aceh pemerintah dan dewan wakil rakyat aceh dorong agar cepat pengesahan anggaran,0.0,0.0,0.0,neutral
4198,2017-12-27T08:04:40.000Z,Komoditas Strategis Layak Dilindungi Undang Undang,komoditas strategis layak lindung undang undang,0.0,0.0,0.0,neutral
4222,2017-12-24T02:13:15.000Z,Bantu Arief Rahman Satriyo dapat lebih banyak tanda tangan tanda tangan diperlukan!,bantu arief rahman satriyo dapat lebih banyak tanda tangan tanda tangan perlu !,0.0,0.0,0.0,neutral
4244,2017-12-23T16:08:46.000Z,Untuk Indonesia Yang Lebih Baik,untuk indonesia yang lebih baik,0.0,0.0,0.7071067811865476,neutral
4300,2017-12-22T01:37:45.000Z,Menggantang RUU Sawit Bermanfaat atau Mudarat,gantang RUU sawit manfaat atau mudarat,-0.2,-0.05,0.447213595499958,negative
4307,2017-12-21T04:16:12.000Z,Peradilan di Bawah Tekanan Itu karena Undang Undang Peradilan mungkin dibuat untuk kepentingan EGO PEMBENARAN DIRI Oknum Anggota DPR,adil di bawah tekan itu karena undang undang adil mungkin buat untuk penting EGO BENAR DIRI oknum anggota DPR,-2.6,-0.65,0.5477225575051661,negative
4317,2017-12-20T04:24:47.000Z,Ginilah prof klo RUU terus tdk rampung akan jd kekakcauan di masyarakat di mana dewan perwakilan rakyat DPR yg menyuarakan mewakili rakyat jika RUU ZINA DAN LGBT tdk kunjung rampung karna zina dan lgbt sangat meresah kan lingkungan masyarakat,gin prof jika RUU terus tidak rampung akan jadi kekakcauan di masyarakat di mana dewan wakil rakyat DPR yang suara wakil rakyat jika RUU ZINA DAN LGBT tidak kunjung rampung karena zina dan lgbt sangat resah kan lingkung masyarakat,-1.8,-0.45,0.44721359549995804,negative
4352,2017-12-18T05:48:13.000Z,Ternyata arek iki terutama yg marah ke MK ditambah dg dikompori politisi senayan beberapa sih baru ngeh bahwa RUU KUHP di itulah UU yg akan dipakai jk nanti sdh disahkan bkn putusan MK barusan Makane rek ojo gumunan ojo mudah dikompori awasi itu pembahasan RUU,nyata arek iki utama yang marah ke MAKA tambah dengan kompor politis senayan beberapa sih baru engah bahwa RUU KUHP di itu UU yang akan pemakaian jika nanti sudah sah bukan keputusan MAKA barusan makane rek ojo gumun ojo mudah kompor awas itu bahas RUU,-0.2,-0.05,0.447213595499958,negative
4371,2017-12-16T13:25:11.000Z,Cc tanya prof kapan ya selesaikan RUU KUHP dulu alasannya ndak cukup waktu dan serahkan ke DPR Sekarang sdh mau berakhir koq ndak selesai juga Masa nunggu rakyat gugat terus ke MK? Curiga saya ini Mau lepas tangan lagi Hehe,cc tanya prof kapan ya selesai RUU KUHP dulu alas indak cukup waktu dan serah ke DPR sekarang sudah mau akhir kok indak selesai juga masa tunggu rakyat penggugatan terus ke MK ? curiga saya ini mau lepas tangan lagi hehe,-1.6,-0.4,0.5477225575051661,negative
4375,2017-12-16T07:50:27.000Z,Kan udah ada di RUU ih,kan sudah ada di RUU ih,-0.4,-0.1,0.5477225575051662,negative
4376,2017-12-16T07:30:16.000Z,Reses Bersama FPKB DPR RI melalui,reses sama FPKB DPR RI lalu,-0.4,-0.1,0.894427190999916,negative
4451,2017-12-08T02:25:03.000Z,Cth RUU pengaturan tempat peribadatan anggota DPR Wah masa tempat ibadat diatur atur Ini namanya intoleransi Gak boleh diatur atur padahal isinya tentang syarat dan kelayakan tempat ibadah Politisi modal headline,cth RUU pengaturan tempat ibadat anggota DPR wah masa tempat ibadat pengaturan pengaturan ini nama intoleransi tidak boleh pengaturan pengaturan padahal isi tentang syarat dan layak tempat ibadah politis modal headline,-1.8,-0.45,0.4472135954999579,negative
4470,2017-12-07T10:13:15.000Z,RUU Tentang Serah Simpan Karya Cetak dan Karya Rekam Jadi RUU Usul Inisiatif DPR RI kanalhukum id,RUU tentang serah simpan karya cetak dan karya rekam jadi RUU usul inisiatif DPR RI kanalhukum id,0.6,0.15,0.5477225575051662,positive
4471,2017-12-07T10:10:29.000Z,Siang ini Kamis Desember memimpin Rapat Paripurna DPR RI Ke Masa Persidangan II Tahun Sidang Mendengarkan Laporan Komisi I mengenai hasil uji kelayakan dan kepatutan calon Marsekal TNI Hadi Tjahjanto sbg calon panglima baru TNI,siang ini kamis desember kepemimpinan rapat paripurna DPR RI ke masa sidang II tahun sidang dengar lapor komisi i kena hasil uji layak dan patut calon marsekal TNI had tjahjanto bagai calon panglima baru TNI,0.0,0.0,0.0,neutral
4489,2017-12-06T01:48:55.000Z,RUU Masuk Prioritas Tahun,RUU masuk prioritas tahun,0.0,0.0,0.0,neutral
4497,2017-12-05T05:42:04.000Z,Melangsungkan Rapat Paripurna DPR RI Ke Masa Persidangan II Th Sidang Selasa membahas agenda Setujui lap Baleg ttg Prolegnas setujui RUU SDA Kebidanan serta setujui perpanjangan pembahasan RUU Terorisme Karantina Kesehatan dpr,langsung rapat paripurna DPR RI ke masa sidang II tahu sidang selasa bahas agenda tuju lap baleg tentang prolegnas tuju RUU SDA bidan serta tuju panjang bahas RUU terorisme karantina sehat dpr,0.0,0.0,0.0,neutral
4532,2017-12-02T14:38:38.000Z,Anda terlihat pintar bermain kata debat tapi anda blm terlihat pintar merealisasikan janji sbg wakil rakyat yg sebagian besar merasakan hidup bertambah sulit utk disampaikan ke pemerintah bukan hanya pro semua kebijakan,anda lihat pintar main kata debat tetapi anda belum lihat pintar realisasi janji bagai wakil rakyat yang bagi besar rasa hidup tambah sulit untuk sampai ke pemerintah bukan hanya pro semua kebijakan,-2.0,-0.5,0.0,negative
4609,2017-11-22T14:47:16.000Z,Komisi II Terima DIM RUU Pertanahan dari Pemerintah,komisi II terima DIM RUU tanah dari pemerintah,0.0,0.0,0.0,neutral
4657,2017-11-18T10:54:25.000Z,Peresmian Rumah Aspirasi H Bisri Romli Anggota DPR RI oleh CakImindiKotaBatik,resmi rumah aspirasi h bisri romli anggota DPR RI oleh cakimindikotabatik,0.8,0.2,0.44721359549995804,positive
4690,2017-11-15T11:09:58.000Z,Yg aangat konyol pengacara bilang SN adalah wakil rakyat yg seharusnya di hormati krn membawa aspirasi rakyat lha KORUPSI emang aspirasi rakyat utekmu wes kebuntel duit! Rakyat pun muak kok bisanya membawa nama rakyat becak tanpo velg waton jeplak ra nganggo utek,yang aangat konyol acara bilang SN adalah wakil rakyat yang harus di hormat karena bawa aspirasi rakyat lah KORUPSI memang aspirasi rakyat utekmu wes buntel duit ! rakyat pun muak kok bisa bawa nama rakyat becak tanpo velg waton jeplak ra nganggo utek,-3.8,-0.95,0.44721359549995787,negative
4742,2017-11-10T10:32:14.000Z,Tarif Listrik Siasat Jonan dan Upaya Selamatkan PLN,tarif listrik siasat jonan dan upaya selamat PLN,-0.2,-0.05,0.44721359549995804,negative
4755,2017-11-09T04:29:32.000Z,bagus silakan lihat!,bagus sila lihat !,0.6,0.15,0.8944271909999157,positive
4877,2017-10-25T13:31:56.000Z,DPR RI Setujui RUU Menjadi UU Baru Klik,DPR RI tuju RUU jadi UU baru klik,0.4,0.1,0.5477225575051662,positive
4881,2017-10-25T11:41:04.000Z,Rapat Paripurna DPR RI Setujui UU APBN,rapat paripurna DPR RI tuju UU APBN,0.2,0.05,0.447213595499958,positive
5021,2017-10-24T06:45:43.000Z,Massa demonstran penolakan perppu ormas menjadi undang undang hingga saat ini masih bertahan di depan Gedung DPR Jakarta ros,rakyat demonstran penolakan perppu ormas jadi undang undang hingga saat ini masih pertahanan di depan gedung DPR jakarta ros,-1.2,-0.3,0.8366600265340756,negative
5023,2017-10-24T05:30:54.000Z,Buruh Desak DPR RI Tolak Pengesahan Perppu Ormas FSPMI,buruh desakan DPR RI penolakan pengesahan perppu ormas FSPMI,-0.8,-0.2,0.44721359549995804,negative
5067,2017-10-23T07:27:44.000Z,Kegiatan ini dlm rangka pelaksanaan fungsi pengawasan atas rekomendasi Rapat Paripurna bulan September,giat ini dalam rangka laksana fungsi awas atas rekomendasi rapat paripurna bulan september,0.2,0.05,0.447213595499958,positive
5094,2017-10-21T12:29:59.000Z,naib RUU KUHP bagaimana ya?,naib RUU KUHP bagaimana ya ?,-1.0,-0.25,0.7071067811865476,negative
5249,2017-10-04T10:46:44.000Z,Panja DPR RI Harus Segera Menyelesaikan RUU Terorisme,panja DPR RI harus segera selesai RUU terorisme,-0.6,-0.15,0.8944271909999161,negative
5259,2017-10-03T06:26:54.000Z,RUU Penyiaran Berikan Ruang Bagi Iklan Rokok,RUU siar ikan ruang bagi iklan rokok,-0.4,-0.1,0.5477225575051662,negative
5292,2017-09-28T05:48:21.000Z,RUU SDA Harus Fokus Pada Pengelolaan Sumber Daya Air,RUU SDA harus fokus pada kelola sumber daya air,0.0,0.0,0.0,neutral
5317,2017-09-26T04:34:07.000Z,Rapat Paripurna pagi ini dipimpin oleh Bang,rapat paripurna pagi ini kepemimpinan oleh bang,0.0,0.0,0.0,neutral
5327,2017-09-26T01:54:04.000Z,Agenda DPR Selasa Pukul WIB Komisi VIII DPR Rapat Panja RUU Penyelenggaraan Ibadah Haji dan Umrah agendaDPR,agenda DPR selasa pukul WIB komisi VII DPR rapat panja RUU penyelenggaraan ibadah haji dan umrah agendadpr,0.0,0.0,0.0,neutral
5365,2017-09-20T06:13:26.000Z,Komisi X DPR RI Sosialisasikan Undang Undang Sistem Perbukuan di Kalimantan Selatan KunkerDPR,komisi kali DPR RI sosialisasi undang undang sistem buku di kalimantan selatan kunkerdpr,0.8,0.2,0.44721359549995804,positive
5409,2017-09-14T16:10:47.000Z,Selesaikan RUU Lembaga Pendidikan Keagamaan Pesantren,selesai RUU lembaga didik agama pesantren,0.6,0.15,0.894427190999916,positive
5445,2017-09-12T19:00:49.000Z,Survei Kerenggangan DPR dan Masyarakat Sangat Jauh,survei renggang DPR dan masyarakat sangat jauh,-2.0,-0.5,0.0,negative
5450,2017-09-12T12:39:07.000Z,Kementerian PPPA dan DPR RI sepakat bentuk panja RUU PKS Papua,menteri PAPA dan DPR RI sepakat bentuk panja RUU PKS papua,1.0,0.25,0.0,positive
5486,2017-09-09T23:23:06.000Z,Jadi jangan percaya omongan anggota dpr yg ternyata sering berbeda dg kebijakan Partainya,jadi jangan percaya omong anggota dpr yang nyata sering beda dengan kebijakan partai,-2.0,-0.5,0.0,negative
5506,2017-09-07T03:04:11.000Z,Godok RUU Penyadapan Anggota DPR Kami Nggak Ada Takutnya,godok RUU sadap anggota DPR kami tidak ada takut,0.0,0.0,0.7071067811865476,neutral
5519,2017-09-06T02:07:03.000Z,Agenda DPR Rabu Pukul WIB Baleg DPR Rapat Panja Harmonisasi RUU Penyiaran agendaDPR,agenda DPR rabu pukul WIB baleg DPR rapat panja harmonisasi RUU siar agendadpr,0.0,0.0,0.0,neutral
5526,2017-09-05T02:22:02.000Z,Agak salah ruangan Kak Ga spt ruang rapat paripurna di ruang rapat komisi badan mungkin hampir ga ada tidur ini battleground,agak salah ruang kak tidak seperti ruang rapat paripurna di ruang rapat komisi badan mungkin hampir tidak ada tidur ini battleground,0.6,0.15,0.5477225575051662,positive
5575,2017-08-29T12:01:34.000Z,Saya suka video H Sukiman S Pd M M Rapat Paripurna DPR RI Agustus,saya suka video h sukiman si pada sama sama rapat paripurna DPR RI agustus,0.8,0.2,0.44721359549995804,positive
5580,2017-08-29T07:36:14.000Z,Untuk keperluan reses para anggota DPR,untuk perlu reses para anggota DPR,0.0,0.0,0.0,neutral
5581,2017-08-29T07:10:54.000Z,Selama DPR Telah Menyelesaikan RUU Nasional RUU DPRRI,lama DPR telah selesai RUU nasional RUU DPRRI,0.6,0.15,0.5477225575051662,positive
5610,2017-08-29T03:21:18.000Z,Ke depan perencanaan legislasi di DPR hendaknya tidak hanya bertumpu pada sejumlah RUU yang ditargetkan HUTDPR,ke depan rencana legislasi di DPR hendak tidak hanya tumpu pada jumlah RUU yang target HUTDPR,-0.4,-0.1,0.5477225575051662,negative
5641,2017-08-25T12:52:52.000Z,Anggota DPR Tidak Hadiri Sidang Paripurna RUU APBN Karena Gedung DPR Miring?,anggota DPR tidak hadir sidang paripurna RUU APBN karena gedung DPR miring ?,-2.0,-0.5,0.7071067811865476,negative
5661,2017-08-24T07:25:11.000Z,info RUU APBN,info RUU APBN,0.0,0.0,0.0,neutral
5669,2017-08-23T09:24:53.000Z,Penerapan TV digital masih terganjal RUU Penyiaran di DPR RI,terap TV digital masih ganjal RUU siar di DPR RI,-1.6,-0.4,0.5477225575051661,negative
5723,2017-08-16T07:19:20.000Z,memimpin Rapat Paripurna DPR RI,kepemimpinan rapat paripurna DPR RI,0.0,0.0,0.0,neutral
5791,2017-08-10T01:29:08.000Z,reses dpr ri dasco kunjungi KGN kab tangerang,reses dpr ri dasco kunjung KANGEN kab tangerang,0.0,0.0,0.0,neutral
5808,2017-08-07T14:28:31.000Z,Sebagai anggota DPR RI dalam agenda reses,bagai anggota DPR RI dalam agenda reses,0.0,0.0,0.0,neutral
5824,2017-08-04T08:50:08.000Z,Ini komentar anggota DPR soal RUU KUP,ini komentar anggota DPR soal RUU KUP,0.0,0.0,0.0,neutral
5893,2017-07-27T04:50:01.000Z,Pendapat Akhir Pemerintah terhadap RUU tentang Pertanggungjawaban atas Pelaksanaan APBN TA ParipurnaDPR,dapat akhir pemerintah hadap RUU tentang pertanggungjawaban atas laksana APBN TA paripurnadpr,0.0,0.0,0.0,neutral
5921,2017-07-24T13:22:46.000Z,Saat ini badan legislasi sedang melakukan penyusunan prolegnas RUU Prioritas tahun,saat ini badan legislasi sedang pelaksanaan susun prolegnas RUU prioritas tahun,0.0,0.0,0.0,neutral
5928,2017-07-24T04:52:27.000Z,Dorong Segera Seriusi RUU Redenominasi,dorong segera serius RUU redenominasi,-0.6,-0.15,0.8944271909999161,negative
5933,2017-07-23T13:36:06.000Z,KONI Bojonegoro Adakan Kejuaraan Voli,KONI bojonegoro adakan juara voli,-0.4,-0.1,0.894427190999916,negative
5940,2017-07-22T16:13:26.000Z,KAMI INGIN TAHU seberapa ingin anda bila ILC Selasa Juli mengangkat topik UU Pemilu Presidential Threshold RT bila setuju,KAMI INGIN TAHU berapa ingin anda bila ILC selasa juli angkat topik UU pemilu presidential threshold RT bila tuju,0.0,0.0,0.0,neutral
5954,2017-07-22T06:53:23.000Z,anggota DPR melakukan walk out saat berlangsungnya rapat paripurna DagelanWalkOut,anggota DPR pelaksanaan walk out saat langsung rapat paripurna dagelanwalkout,-2.4,-0.6,0.5477225575051661,negative
6011,2017-07-20T18:01:26.000Z,Sidang Paripurna di DPR RI yang membahas RUU Pemilu telah selesai dilaksanakan Ach ElshintaNewsAndTalk,sidang paripurna di DPR RI yang bahas RUU pemilu telah selesai laksana ach elshintanewsandtalk,0.0,0.0,0.0,neutral
6051,2017-07-20T15:16:42.000Z,LintasINFO Suasana jelang Rapat Paripurna di Rep,lintasinfo suasana jelang rapat paripurna di rep,0.0,0.0,0.0,neutral
6056,2017-07-20T14:40:57.000Z,Kelihatan RUU Pemilu yg akan disahkan malam ini ngga jd perhatian masyarakat TL,lihat RUU pemilu yang akan sah malam ini tidak jadi perhati masyarakat TL,-1.0,-0.25,0.0,negative
6101,2017-07-20T03:46:34.000Z,Bukan pengesahan RUU Pemilu dipimpin,bukan pengesahan RUU pemilu kepemimpinan,0.0,0.0,0.0,neutral
6165,2017-07-14T03:03:54.000Z,Saya juga kaget membacanya,saya juga kaget baca,-0.2,-0.05,0.44721359549995804,negative
6241,2017-07-11T12:44:00.000Z,Mereka yg di DPR bukan wakil rakyat tetapi wakil partai Merka bekerja ntuk kpntingn partai bukan untuk rakyat Bikin RUU sja gabecus,mereka yang di DPR bukan wakil rakyat tetapi wakil partai mereka kerja ntuk kpntingn partai bukan untuk rakyat bikin RUU saja gabecus,-3.8,-0.95,0.44721359549995787,negative
6278,2017-07-10T04:10:15.000Z,Banggar DPR raker dengan Menkopolhukam Menko Kemaritiman membahas RKA K L RUU APBNP BanggarDPR,banggar DPR raker dengan menkopolhukam menko maritim bahas RKA ke l RUU APBNP banggardpr,0.0,0.0,0.0,neutral
6283,2017-07-09T08:01:50.000Z,DPR Lanjutkan Pembahasan RUU Perkelapasawitan,DPR lanjut bahas RUU perkelapasawitan,0.0,0.0,0.0,neutral
6330,2017-07-06T13:12:50.000Z,RUU KUHP Ditargetkan Selesai Periode Ini,RUU KUHP target selesai periode ini,-0.2,-0.05,0.447213595499958,negative
6376,2017-07-05T00:48:25.000Z,Usul segera hentikan manuver politik yg tdk berguna buang waktu spt hak angket thdp agar fokus ke RUU Pemilu,usul segera henti manuver politik yang tidak penggunaan buang waktu seperti hak angket hadap agar fokus ke RUU pemilu,-1.6,-0.4,0.8944271909999159,negative
6397,2017-07-04T02:18:01.000Z,Apakah RUU Pemilu akan selesai di Bulan Juli ?,apakah RUU pemilu akan selesai di bulan juli ?,-0.8,-0.2,0.44721359549995804,negative
6407,2017-07-03T07:42:24.000Z,saya menyatakam mendesak DPR untuk mensahkan undang undang anti teror secepatnya,saya menyatakam desakan DPR untuk sah undang undang anti teror cepat,-0.2,-0.05,1.0954451150103324,negative
6414,2017-07-02T09:53:32.000Z,kpn RUU anti teroris jd? Hrs nunggu ada anggota DPR jd korbankah spt hak angket yg dikebut ketika ada yg kena e ktp?,kapan RUU anti teroris jd ? harus tunggu ada anggota DPR jadi korban seperti hak angket yang kebut ketika ada yang kena e ktp ?,-2.8,-0.7,0.44721359549995787,negative
6451,2017-06-27T22:05:34.000Z,Mrk masuk utk brkembang biak di NKRI KRN SUAMINYA SDH TERDESAK! MSH JG DEBAT MSLH MSK DLM RUU!GOBLOK PENDONOR ISIS X?,mereka masuk untuk brkembang biak di NKRI KARENA SUAMI SUDAH DESAKAN ! MASIH JUGA DEBAT MASALAH MASUK DALAM RUU ! GOBLOK DONOR ISIS x ?,-4.0,-1.0,0.0,negative
6482,2017-06-19T09:35:04.000Z,Untuk Majukan PT Tidak Bisa Diberikan Kebijakan Sama,untuk maju PT tidak dapat beri kebijakan sama,0.0,0.0,0.0,neutral
6607,2017-06-11T10:54:35.000Z,punya fungsi mengawasi yg dijamin undang undang,punya fungsi awas yang jamin undang undang,0.0,0.0,0.0,neutral
6616,2017-06-10T14:29:02.000Z,kngen juga leat Sinetron walk out sambil menangis dr pas pengesahan kenaikan BBM di era Rezim dulu,kangen juga leat sinetron walk out sambil menang dari pas pengesahan naik BBM di era rezim dulu,-1.6,-0.4,0.8944271909999161,negative
6674,2017-06-06T07:36:51.000Z,Smoga secepatnya bisa di syahkan RUU Palang Merah Cc,moga cepat dapat di syah RUU palang merah cc,1.0,0.25,0.0,positive
6684,2017-06-05T10:40:13.000Z,Nunggu RUU penyiaran di sahkan oleh,tunggu RUU siar di sahkan oleh,-1.0,-0.25,0.0,negative
6744,2017-05-31T01:58:50.000Z,Maju terus Pak Segera dipercepat Pengesahannya,maju terus pak segera cepat pengesahan,1.4,0.35,0.5477225575051661,positive
6807,2017-05-29T09:50:52.000Z,Anggota Pansus RUU Pemilu mengajukan penambahan Kursi Anggota DPR sedangkan Kemendagri meminta atau kursi,anggota pansus RUU pemilu aju tambah kursi anggota DPR sedang kemendagri minta atau kursi,-0.6,-0.15,0.5477225575051662,negative
6830,2017-05-28T14:28:32.000Z,Anggota DPR yg tarik ulur RUU Antiteroris mungkin bagian dri teroris itu sendiri,anggota DPR yang tarik ulur RUU antiteroris mungkin bagi dari teroris itu sendiri,-3.6,-0.9,0.5477225575051661,negative
6838,2017-05-27T12:10:20.000Z,Selamat jalan bhayangkaraku,selamat jalan bhayangkara,0.0,0.0,0.0,neutral
6841,2017-05-27T03:33:09.000Z,Kapan nih RUU terorisme diketok palu ?,kapan ini RUU terorisme ketok palu ?,-0.8,-0.2,0.4472135954999579,negative
6874,2017-05-23T02:36:14.000Z,RUU Pemilu Segera Divoting,RUU pemilu segera voting,0.0,0.0,0.0,neutral
6878,2017-05-22T07:36:12.000Z,Hanya Dihadiri Anggota DPR Pembahasan RUU KUHP Ditunda,hanya hadir anggota DPR bahas RUU KUHP tunda,-2.2,-0.55,0.4472135954999579,negative
6884,2017-05-21T02:23:44.000Z,kapan RUU ASN untuk honorer di sahkan pak DPR RI,kapan RUU ASN untuk honorer di sahkan pak DPR RI,-1.0,-0.25,0.0,negative
6885,2017-05-20T10:24:31.000Z,meminta untuk fokus dalam membahas penyelesaian RUU Pemilu,minta untuk fokus dalam bahas selesai RUU pemilu,-0.8,-0.2,0.44721359549995804,negative
6992,2017-05-12T02:16:36.000Z,PAK KOREKSI BAGI KEBIJAKAN PENYEDIAAN AIR BERSIH LAYAK MINUM YA,PAK KOREKSI BAGI KEBIJAKAN SEDIA AIR BERSIH LAYAK MINUM YA,0.6,0.15,0.8944271909999161,positive
7035,2017-05-03T07:16:06.000Z,Undang undang ? N O L B E S A R ! ! ! ! ! ! !,undang undang ? n o l b e si a r ! ! ! ! ! ! !,-3.0,-0.75,0.0,negative
7041,2017-05-02T07:50:05.000Z,Internal Hanura Terbelah Sikapi Hak Angket KPK,internal hanura belah sikap hak angket KPK,-0.4,-0.1,0.5477225575051662,negative
7075,2017-04-29T03:50:08.000Z,RUU Pemilu menghadang Jokowi angket KPK agar anggota DPR yang korupsi bisa lolos dari jeratam hukum,RUU pemilu menghadang jokowi angket KPK agar anggota DPR yang korupsi dapat lolos dari jeratam hukum,-3.0,-0.75,0.0,negative
7158,2017-04-27T05:45:16.000Z,Pembahasan RUU Pemilu dan Larangan Minol Diperpanjang,bahas RUU pemilu dan larang mol panjang,-0.6,-0.15,0.5477225575051662,negative
7189,2017-04-27T03:43:36.000Z,Suasana Ruang Rapat Paripurna II Gedung Nusantara II DPR RI ParipurnaDPR,suasana ruang rapat paripurna II gedung nusantara II DPR RI paripurnadpr,0.0,0.0,0.0,neutral
7228,2017-04-25T08:05:40.000Z,Komisi XI DPR RDP dengan POLRI Kemendikbud Kemenkes Kemen ESDM KemenkumHAM dan Kementerian BUMN membahas masukan RUU PNBP Komisi,komisi XI DPR RDP dengan POLRI kemendikbud kemenkes kemen ESDM kemenkumham dan menteri BUMN bahas masuk RUU PNBP komisi,0.0,0.0,0.0,neutral
7271,2017-04-17T03:21:08.000Z,Baleg Setujui RUU Larangan Praktik Monopoli,baleg tuju RUU larang praktik monopoli,0.6,0.15,0.5477225575051662,positive
7301,2017-04-12T09:54:52.000Z,Baleg DPR RI Akan Membahas RUU Revisi UU ASN,baleg DPR RI akan bahas RUU revisi UU ASN,0.0,0.0,0.0,neutral
7320,2017-04-11T05:24:24.000Z,Rapat Paripurna DPR RI Setujui Dua Anggota BPK Terpilih,rapat paripurna DPR RI tuju dua anggota BPK pilih,0.2,0.05,0.44721359549995804,positive
7359,2017-04-06T23:53:17.000Z,Kunjungan kerja Panja RUU Kebudayaan Komisi X DPR RI ke Provinsi Riau,kunjung kerja panja RUU budaya komisi kali DPR RI ke provinsi riau,0.8,0.2,0.44721359549995804,positive
7435,2017-04-05T10:46:29.000Z,maaf sebelumnya pak di harapkan kebijakan pelayanan yg di berikan tdk hanya di jawa,maaf belum pak di harap kebijakan layan yang di ikan tidak hanya di jawa,-0.2,-0.05,0.44721359549995804,negative
7438,2017-04-05T08:34:28.000Z,Komisi X DPR Setujui RUU Sisbuk,komisi kali DPR tuju RUU sisbuk,0.8,0.2,0.44721359549995804,positive
7441,2017-04-05T04:20:46.000Z,Mahasiswa Unpar Belajar Pembuatan Kebijakan ke DPR,mahasiswa unpar belajar buat kebijakan ke DPR,0.6,0.15,0.5477225575051662,positive
7497,2017-04-03T05:03:08.000Z,Komisi V DPR RI Gelar FGD Himpun Masukan RUU SDA,komisi v DPR RI gelar FGD himpun masuk RUU SDA,0.8,0.2,0.44721359549995804,positive
7604,2017-03-22T23:16:04.000Z,Hukuman mati bagi yg korupsi lebih baik dibuat bersama drpd merevisi undang undang,hukum mati bagi yang korupsi lebih baik buat sama daripada revisi undang undang,0.0,0.0,0.0,neutral
7607,2017-03-22T16:28:30.000Z,Meskipun sudah ada Surat Presiden Surpres kepada pimpinan DPR RI pemerintah menegaskan sikapnya terkait,meski sudah ada surat presiden surpres kepada kepemimpinan DPR RI pemerintah tegas sikap kait,0.0,0.0,0.0,neutral
7654,2017-03-20T04:58:38.000Z,Ini Lanjutan Revisi UU MD,ini lanjut revisi UU MD,0.0,0.0,0.0,neutral
7681,2017-03-15T14:57:06.000Z,Keluhan Rakyat tidak dihiraukan oleh wakil RAKYAT sperti kenaikan Listrik tidak ada kebijakan penyesuain Ekonomi Rakyat Spt Mencekik leher,keluh rakyat tidak hirau oleh wakil RAKYAT seperti naik listrik tidak ada kebijakan penyesuain ekonomi rakyat seperti cekik leher,-3.2,-0.8,0.8366600265340756,negative
7789,2017-03-09T04:16:00.000Z,APAKAH BENAR DPR RI rumah aspirasi rakyat ????? Mengapa TDK semuanya aspirasi tersampaikan ????,APAKAH BANGET DPR RI rumah aspirasi rakyat ? ? mengapa TIDAK semua aspirasi sampai ? ?,-2.0,-0.5,0.0,negative
7818,2017-03-06T12:28:35.000Z,Reses Ketua Komisi VIII DPR RI Kunjungi MUI Tangsel,reses ketua komisi VII DPR RI kunjung MUI tangsel,0.0,0.0,0.0,neutral
7860,2017-03-02T01:16:00.000Z,Raja Salman akan Bertemu Pimpinan DPR Meski masa reses anggota DPR diimbau hadir saat pidato Raja VivaNews,raja salman akan temu kepemimpinan DPR meski masa reses anggota DPR imbau hadir saat pidato raja vivanews,0.0,0.0,0.0,neutral
7881,2017-02-28T12:29:36.000Z,DPR Terkini Rapat Paripurna DPR RI Setujui Lima Anggota BSBI,DPR kini rapat paripurna DPR RI tuju lima anggota BSBI,0.0,0.0,0.0,neutral
7891,2017-02-28T05:17:24.000Z,Anggota DPR RI Reses Iskandar Jelaskan Kondisi OKI,anggota DPR RI reses iskandar jelas kondisi OKI,0.0,0.0,0.0,neutral
